rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
rr4k1/2R3pp/5p2/7Q/6P1/pq1P4/6PK/2R5 w - - acn 929084; acs 1; bm Rxg7+; ce 32756; dm 6; pv Rxg7+ Kxg7 Rc7+ Kf8 Qc5+ Kg8 Qe7 Qf7 Qxf7+ Kh8 Qxh7#;
rr4R1/N3P2P/4P2P/7P/1B5P/1B5P/7P/K6k w - - acn 32910; acs 0; bm Bd5+; ce 32756; dm 6; pv Bd5+ Kxh2 Bd6+ Kxh3 Bg2+ Kxh4 Bg3+ Kxh5 Bf3+ Kxh6 h8=Q#;
rr3k2/2R3pp/3N4/8/2B5/q7/P4P2/K7 w - - acn 2552; acs 0; bm Rf7+; ce 32756; dm 6; pv Rf7+ Kg8 Rf4+ Kh8 Nf7+ Kg8 Ne5+ Kh8 Ng6+ hxg6 Rh4#;
rr3b1q/kp6/p7/5p2/3n4/5bR1/5K1n/4R1B1 b - - acn 3263841; acs 6; bm Bc5 Ne2 Qh4 Rc8 Re8 f4; ce 32756; dm 6; pv f4 Rxf3 Nhxf3 Rd1 Qh4+ Kg2 Qg4+ Kf2 Qg3+ Kf1 Qxg1#;
rr2k3/2K5/8/8/8/N7/8/8 b - - acn 379823; acs 0; bm Rc8+; ce 32756; dm 6; pv Rc8+ Kb7 Kd7 Kb6 Rxa3 Kb5 Rb8+ Kc5 Ra4 Kd5 Rb5#;
rr1n4/2k5/1R6/8/1K6/8/8/8 b - - acn 257340; acs 0; bm Rxb6+; ce 32756; dm 6; pv Rxb6+ Kc3 Ra3+ Kc2 Nb7 Kd2 Rb2+ Kc1 Raa2 Kd1 Rb1#;
rr1k4/2p2ppp/2Qp1n2/p1pPp3/B1P1PP1P/P7/1P1q2P1/R4RK1 b - - acn 588471; acs 1; bm Rxb2; ce 32756; dm 6; pv Rxb2 Qxa8+ Ke7 Qd8+ Kxd8 Bc2 Rxc2 Rf2 Qxf2+ Kh1 Qxg2#;
rqr3k1/pp1b1p2/3p1R1p/2pPn2Q/P1P5/2PB4/6PP/R5K1 w - - acn 7381957; acs 14; bm Rxh6; ce 32756; dm 6; pv Rxh6 Ng6 Rxg6+ fxg6 Bxg6 Be8 Qh7+ Kf8 Rf1+ Bf7 Qxf7#;
rqb4R/3n1ppp/pBp1k3/8/1bpQPp2/2N5/PPP3PP/1K1R4 w - - acn 5229381; acs 12; bm Re8+; ce 32756; dm 6; pv Re8+ Be7 Nd5 f6 Rxe7+ Kd6 e5+ fxe5 Bc5+ Nxc5 Qxe5#;
rqb4Q/4N2n/5Pp1/pB1pP2N/1pP4n/2pkP3/R4P2/5R1K w - - acn 1046572; acs 3; bm Rd1+; ce 32756; dm 6; pv Rd1+ Ke4 Rd4+ Kxe5 f4+ Ke6 Ng7+ Kxf6 Nxd5+ Kf7 Be8#;
rqb1kbnK/pp1pp1RR/2p5/8/5p2/2P5/PP1PPPP1/r7 b - - acn 2770327; acs 4; bm Bxg7+ Qd6 Qe5 Rh1; ce 32756; dm 6; pv Bxg7+ Rxg7 Rh1+ Kxg8 d5 Rxe7+ Kxe7 g3 Bd7+ Kg7 Qg8#;
rq6/3n2P1/6R1/1PpkNP2/r2p2pp/2pK4/3n3B/4R3 w - - acn 7379; acs 0; bm g8=B+ g8=Q+; ce 32756; dm 6; pv g8=Q+ Qxg8 Rd6+ Kxd6 Nc4+ Kd5 Re7 Nxc4 Rxd7+ Nd6 Rxd6#;
rq5r/1b2k1pp/n2p4/1Q1Pp3/4B2b/P3B3/1P4PP/1KR2R2 w - - acn 1018314; acs 3; bm Rf7+; ce 32756; dm 6; pv Rf7+ Kxf7 Qd7+ Kf8 Rf1+ Bf6 Rxf6+ gxf6 Bh6+ Kg8 Qg7#;
rq4r1/p6p/1p4p1/1Pp1Q1Pk/2PpR2n/8/P2N1P1P/R5K1 w - - acn 422007; acs 1; bm Rxh4+; ce 32756; dm 6; pv Rxh4+ Kxh4 Nf3+ Kg4 Qe4+ Qf4 h3+ Kh5 Qxf4 h6 Qh4#;
rq3kb1/2n2P2/8/1p4pp/1K1p4/2Q5/5b2/8 b - - acn 102792; acs 0; bm Nd5+ Ra4+ dxc3; ce 32756; dm 6; pv Nd5+ Kb3 Nxc3 fxg8=Q+ Kxg8 Kb4 Ra2 Kb3 Qc8 Kb4 Qc4#;
rq2r1k1/1pnb1Np1/p1n1p2p/8/P2P3P/B5P1/6P1/R2Q1RK1 w - - acn 1131203; acs 3; bm Nxh6+; ce 32756; dm 6; pv Nxh6+ gxh6 Qg4+ Kh8 Rf6 Re7 Bxe7 Qf8 Bxf8 h5 Rh6#;
rq2nnK1/1p1P4/3BPp2/1b1k2p1/2N1p3/3p1p2/4r2b/8 b - - acn 1219366; acs 2; bm Nxd6; ce 32756; dm 6; pv Nxd6 Nb6+ Kxe6 d8=N+ Qxd8 Nxa8 Ng6+ Kg7 Qh8+ Kxg6 Be8#;
rq2kN2/8/1P6/8/8/1K6/8/8 b - - acn 768896; acs 1; bm Kxf8 Qxb6+; ce 32756; dm 6; pv Qxb6+ Kc3 Rc8+ Kd3 Qb4 Nd7 Rc3+ Kd2 Qb2+ Kd1 Rc1#;
rq2k1r1/5p2/2R1bp2/p3p3/1p2P2P/nP3B2/PK1Q3P/2NR4 w q - acn 109841; acs 0; bm Rxe6+; ce 32756; dm 6; pv Rxe6+ fxe6 Bh5+ Rg6 Bxg6+ Kf8 Qh6+ Kg8 Qh7+ Kf8 Qf7#;
rq2k1r1/2Rp1p1p/p3pP2/3b4/3Q4/4B1P1/1P5P/2R3K1 w - - acn 917675; acs 2; bm Qb4; ce 32756; dm 6; pv Qb4 Rxg3+ hxg3 Qd8 Bh6 d6 Qa4+ Bc6 Qxc6+ Qd7 Qxd7#;
rq2b3/pkp2p2/8/p1p5/4p3/1K6/4B3/8 b - - acn 588970; acs 1; bm Ba4+; ce 32756; dm 6; pv Ba4+ Kc3 Qd8 Ba6+ Kxa6 Kb2 Rb8+ Ka2 Qh8 Ka3 Qa1#;
rq1r2k1/pp1Ppp1p/4n1pB/8/1P6/P3R3/4BP1P/Q4bK1 w - - acn 416670; acs 1; bm Rxe6; ce 32756; dm 6; pv Rxe6 Qg3+ fxg3 f6 Rxe7 Rf8 Qa2+ Rf7 Re8+ Rxe8 dxe8=Q#;
rq1n3k/p5pp/1p2Nr2/2b1p2Q/2B2P2/P7/1P3P1P/4K2R w K - acn 338888; acs 1; bm Qe8+; ce 32756; dm 6; pv Qe8+ Bf8 Nxf8 h5 Ne6+ Kh7 Ng5+ Kh6 Qh8+ Kg6 Qh7#;
rp3n2/n4N2/Q5p1/2pp1r2/2p2kP1/4pP2/1P5P/3N3K w - - acn 513415; acs 1; bm Qd6+; ce 32756; dm 6; pv Qd6+ Kxf3 Nc3 Rf4 Qxd5+ Re4 Qxe4+ Kf2 Qg2+ Ke1 Qe2#;
rp1N2R1/1ppp2P1/3p4/7p/3k4/pP1p1PQn/1N1P2p1/4K3 w - - acn 24380; acs 0; bm Qh4+; ce 32756; dm 6; pv Qh4+ Nf4 Qxf4+ Kc5 Qc4+ Kb6 Qb4+ Ka6 Qxb7+ Ka5 b4#;
rnn3k1/pr2q1b1/2p1P1Q1/R5Np/1p1P3P/1P2B3/1P3PP1/2R3K1 w - - acn 8402958; acs 14; bm Rf5; ce 32756; dm 6; pv Rf5 Qxg5 Qe8+ Bf8 Rxg5+ Rg7 Qf7+ Kh8 Rxh5+ Rh7 Rxh7#;
rnk1n2r/3R1Qp1/1qp1P2p/pp6/8/8/1P4PB/3R3K w - - acn 5149978; acs 9; bm Qe7; ce 32756; dm 6; pv Qe7 Nd6 Bxd6 Qg1+ Rxg1 Na6 Rc7+ Kb8 Rb7+ Kc8 Qd7#;
rnk1P2R/1p6/6P1/2Pp2p1/1PN1p3/N1Q3P1/1q4P1/n2R1K2 w - - acn 768415; acs 1; bm Nb6+; ce 32756; dm 6; pv Nb6+ Kc7 Qxb2 Nd7 Qg7 g4 Nb5+ Kb8 Qe7 e3 Qd8#;
rnbqrnk1/pp3pp1/4p3/2ppP1NQ/3P4/2P5/PP3PPP/RNB1R1K1 w - - acn 2051072; acs 3; bm Qxf7+; ce 32756; dm 6; pv Qxf7+ Kh8 Re3 Qxg5 Rh3+ Qh6 Bxh6 gxh6 Rxh6+ Nh7 Rxh7#;
rnbqrn1Q/pp2pk2/5pp1/4P3/8/2N2N2/PPP3P1/R3KB1R w KQ - acn 1855358; acs 3; bm Bc4+ Ng5+; ce 32756; dm 6; pv Ng5+ fxg5 Bc4+ e6 Rf1+ Qf6 exf6 Rd8 Qg7+ Ke8 Qe7#;
rnbqr2Q/pp1pkp2/2p2p2/4P3/8/3B4/P4PPP/R4RK1 w - - acn 632667; acs 2; bm Qxf6+; ce 32756; dm 6; pv Qxf6+ Kf8 Qh6+ Kg8 Bh7+ Kh8 Bg6+ Kg8 Qh7+ Kf8 Qxf7#;
rnbqkbnr/pppppppp/8/1K6/8/8/8/8 b - - acn 529356; acs 1; bm d5 e5; ce 32756; dm 6; pv e5 Ka4 Qh4+ Kb3 d5 Kc3 Qf2 Kd3 Bf5+ Kc3 Qc2#;
rnbqkbnr/pppppppp/6B1/1Q6/B5BB/2N5/8/R2QKBNR w KQkq - acn 164441362; acs 275; bm Be6 Qdb3 Qdd5; ce 32756; dm 6; pv Be6 hxg6 Qdd5 fxe6 Qxe6 Nh6 Qxg6+ Nf7 Qbf5 e6 Qgxf7#;
rnbqkbnr/pppppppp/6B1/1Q6/B5BB/2N5/8/R2QKBNR w - - acn 152900482; acs 254; bm Be6 Qdb3 Qdd5; ce 32756; dm 6; pv Be6 hxg6 Qdd5 fxe6 Qxe6 Nh6 Qxg6+ Nf7 Qbf5 e6 Qgxf7#;
rnbqkbnr/pppppppp/1B6/2K5/8/8/8/8 b - - acn 1102338; acs 2; bm axb6+ d5 e5+ e6+; ce 32756; dm 6; pv e6+ Kc4 axb6 Kc3 Qf6+ Kd3 Ra2 Ke3 Bc5+ Kd3 Qd4#;
rnbqkbnr/5ppp/5p2/2pp4/8/5pB1/8/4KB2 b - - acn 1697812; acs 3; bm Qa5+ Qb6 Ra2; ce 32756; dm 6; pv Qa5+ Kf2 Qd2+ Kg1 Ra1 Bf2 h6 Be1 Rxe1 Kh1 Rxf1#;
rnbqkbnK/ppppp1p1/5p2/8/8/5P2/PPPPP1BP/RNBQr1NR b - - acn 1613314; acs 3; bm e6; ce 32756; dm 6; pv e6 d4 g5 Qd3 f5 Qxf5 exf5 h3 Qf6+ Kxg8 Qg7#;
rnbqk2r/pppp3p/5bN1/7Q/4P3/8/PPPP3p/RNB4K w - - acn 388423; acs 1; bm Ne5+; ce 32756; dm 6; pv Ne5+ Ke7 Qf7+ Kd6 Nc4+ Kc5 Qd5+ Kb4 a3+ Ka4 b3#;
rnbqk2r/pp1pp2p/8/2pP3p/2P1p3/2P5/P4PP1/R1BQKBN1 w Qkq - acn 427673; acs 1; bm Qxh5+; ce 32756; dm 6; pv Qxh5+ Kf8 Bh6+ Kg8 Be2 e6 Qg4+ Qg5 Qxg5+ Kf7 Bh5#;
rnbq3r/ppppnk1p/8/8/3PPb2/5Q2/PPP3PP/RN3RK1 w - - acn 567441; acs 2; bm Qxf4+; ce 32756; dm 6; pv Qxf4+ Nf5 Qxf5+ Qf6 Qxf6+ Ke8 Qxh8+ Ke7 Qf8+ Ke6 Rf6#;
rnbq3r/ppppnk1p/8/8/3PPb2/5Q2/PPP3PP/1N3RK1 w - - acn 503729; acs 1; bm Qxf4+; ce 32756; dm 6; pv Qxf4+ Nf5 Qxf5+ Qf6 Qxf6+ Ke8 Qxh8+ Ke7 Qf8+ Ke6 Rf6#;
rnbq3r/ppp4k/7p/4B3/1bBPp1pP/8/PPP3P1/R4RK1 w - - acn 154734; acs 0; bm Rf7+; ce 32756; dm 6; pv Rf7+ Kg6 Rg7+ Kh5 Bf7+ Kxh4 Kh2 Be1 g3+ Bxg3+ Bxg3#;
rnbq3r/ppp2k1p/3b1nN1/7Q/3P1p2/8/PPP3PP/RNB1K2R w KQ - acn 217240; acs 1; bm Ne5+; ce 32756; dm 6; pv Ne5+ Ke6 Qf7+ Kf5 g4+ Ke4 Nc3+ Kxd4 Qc4+ Kxe5 Bxf4#;
rnbq2nr/pppp1kbp/8/8/3PPB2/8/PPP3pP/RN1Q1RK1 w - - acn 98849; acs 0; bm Qh5+; ce 32756; dm 6; pv Qh5+ Ke7 Bd6+ Kxd6 Qc5+ Ke6 d5+ Ke5 d6+ Ke6 Qd5#;
rnbq2nK/ppp2prN/5Bp1/3ppQ2/3P3b/5P2/PP1RP1PP/k4BNR w - - acn 8705; acs 0; bm Rd1+; ce 32756; dm 6; pv Rd1+ Kxa2 Qb1+ Kb3 Qd3+ Kb4 Qc3+ Ka4 Ra1+ Kb5 Qc5#;
rnbq2kr/pp1p2b1/2p2pQp/4P3/8/8/PPP3PP/RNB2RK1 w - - acn 898114; acs 1; bm exf6; ce 32756; dm 6; pv exf6 Qb6+ Kh1 Qg1+ Rxg1 Rh7 Bxh6 d6 Qe8+ Bf8 Qxf8#;
rnbq2k1/pp3rpp/8/3p4/2B1R3/8/PP3PPP/R2Q2K1 w - - acn 1042411; acs 2; bm Qxd5; ce 32756; dm 6; pv Qxd5 h6 Qxd8+ Kh7 Bxf7 h5 Re8 g6 Qf6 h4 Rh8#;
rnbq1rk1/ppp2pp1/5R1p/4N2Q/3P4/2PB4/P1PB2PP/R5K1 w - - acn 10272078; acs 17; bm Rxh6; ce 32756; dm 6; pv Rxh6 gxh6 Qxh6 Qxd4+ cxd4 f5 Bc4+ Be6 Bxe6+ Rf7 Bxf7#;
rnbq1rk1/ppp2p1p/5Rp1/4N2Q/3P4/2PB4/P1PB2PP/R5K1 w - - acn 2051857; acs 4; bm Nxg6; ce 32756; dm 6; pv Nxg6 Qxd4+ cxd4 fxg6 Rxg6+ Kf7 Re1 h6 Rxh6+ Kg7 Qg6#;
rnbq1rk1/pp3pb1/7B/3NP3/7P/3Q4/PPP3p1/5RK1 w - - acn 131378; acs 0; bm Qg3; ce 32756; dm 6; pv Qg3 gxf1=Q+ Kxf1 Bh3+ Kg1 Qb6+ Nxb6 Bg4 Qxg4 f6 Qxg7#;
rnbq1r1k/pppp1n1p/5Pp1/8/2B2Q2/8/PB3PPP/R4K1R w - - acn 3132329; acs 5; bm Qh6; ce 32756; dm 6; pv Qh6 Rg8 Bxf7 Qf8 Be6 g5 f7+ Rg7 Qxg7+ Qxg7 f8=Q#;
rnbq1r1k/pp1npPbp/3p4/4P3/5P2/2p2N2/PPP3P1/R1BQKB1R w - - acn 1834630; acs 4; bm Rxh7+; ce 32756; dm 6; pv Rxh7+ Kxh7 Qd3+ Kh8 Ng5 Nf6 exf6 Bf5 Qxf5 e6 Qh7#;
rnbq1r1k/pp1nb1p1/5pp1/3B2B1/3P3P/3Q4/PPP2PP1/R3K2R w - - acn 913907; acs 2; bm h5; ce 32756; dm 6; pv h5 Bb4+ Kf1 Rf7 hxg6+ Kg8 Qh3 Kf8 Qe6 f5 Rh8#;
rnbq1r1k/p2pNppp/1p1Q4/2p1P3/2BN4/P1R5/5PPP/5RK1 w - - acn 17822051; acs 35; bm Ndf5; ce 32756; dm 6; pv Ndf5 Rg8 Rh3 Qe8 Bxf7 Qxe7 Rxh7+ Kxh7 Qg6+ Kh8 Qh5#;
rnbq1kn1/1pQp3r/p7/1N3pNp/4p3/2bPPP2/PPPB2PP/1R1K1B1R w - - acn 1752650; acs 5; bm Qxd8+; ce 32756; dm 6; pv Qxd8+ Kg7 Bxc3+ Kh6 Qf8+ Kxg5 h4+ Kg6 Qxg8+ Rg7 Qxg7#;
rnbq1k2/pppp3p/8/8/3bPp2/1QP2p2/PP1P1r1P/RNB1K3 b - - acn 595946; acs 1; bm Rf1+; ce 32756; dm 6; pv Rf1+ Kxf1 Qg5 Qa3+ d6 Qxd6+ cxd6 cxd4 Qg2+ Ke1 Qg1#;
rnbq1bnr/ppppp1pp/5p2/7k/8/8/8/7K b - - acn 409811; acs 1; bm Kg4 Qe8; ce 32756; dm 6; pv Qe8 Kg1 Qg6+ Kf1 Qc2 Kg1 Kg4 Kh1 Kg3 Kg1 Qd1#;
rnbq1bnr/pp4p1/3pk2p/3NN3/4P3/8/PP3PPP/R1BQK2R w KQ - acn 888450; acs 1; bm Qg4+; ce 32756; dm 6; pv Qg4+ Kxe5 Bf4+ Kxe4 Nc3+ Kd3 Rd1+ Kc4 Qe2+ Kb4 Qb5#;
rnbq1bnr/1pppp1pp/p1k2p2/8/3PP3/2NBBN2/PPP2PPP/R2QK2R w - - acn 15323174; acs 30; bm d5+; ce 32756; dm 6; pv d5+ Kd6 e5+ fxe5 Ne4+ Kxd5 Nc3+ Kd6 Bf5+ Kc6 Nxe5#;
rnbq1bnr/1pp1pppp/2p5/5k2/3B4/1P2P3/1PPR1PPP/1N1QKBNR w - - acn 1554481; acs 4; bm Qh5+; ce 32756; dm 6; pv Qh5+ Ke6 Qe5+ Kd7 Bb6+ Ke8 Rxd8+ Kxd8 Qxc7+ Ke8 Qd8#;
rnbq1bkr/5p1p/2p3pB/pp1N2N1/3P1p2/3B4/2P3PP/R2QR1K1 w - - acn 2672164; acs 5; bm Re8; ce 32756; dm 6; pv Re8 cxd5 Rxd8 Nd7 Qe1 f3 Qe5 f2+ Kf1 f6 Qe6#;
rnbq1b1r/ppppkB1p/5pp1/2n1N2Q/8/2N5/PPPP1PPP/R1B1K2R w KQ - acn 1476674; acs 3; bm Nd5+; ce 32756; dm 6; pv Nd5+ Kd6 Nc4+ Kc6 Nb4+ Kb5 a4+ Kxb4 c3+ Kb3 Qd1#;
rnbq1b1r/ppp1p1pp/1n1p4/4P1k1/8/5Q2/PPPP1PPP/RNB1K2R w KQ - acn 3458648; acs 6; bm Qf7; ce 32756; dm 6; pv Qf7 g6 d3+ Kh5 Qf4 h6 h3 g5 Qf7+ Kh4 g3#;
rnbq1b1r/ppp1p1pp/1n1p4/4P1k1/8/5Q2/PPPP1PPP/RNB1K2R w - - acn 1938420; acs 5; bm Qf7; ce 32756; dm 6; pv Qf7 g6 d3+ Kh5 Qf4 h6 h3 g5 Qf7+ Kh4 g3#;
rnbR1br1/pp3k1p/2p1q1pn/4Q1B1/4p3/2N5/PPP2PPP/4KB1R w K - acn 2976163; acs 7; bm Bc4; ce 32756; dm 6; pv Bc4 Bg7 Bxe6+ Bxe6 Qc7+ Bd7 Rxd7+ Nxd7 Qxd7+ Kf8 Qe7#;
rnbQKbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBkqBNR w - - acn 135403; acs 0; bm Bd3; ce 32756; dm 6; pv Bd3 Nf6+ Kxf7 Nd5 Nc3+ Nxc3 dxc3 Qd2 Ne2+ Qe1 Be3#;
rnb4r/ppp4p/3k4/3P4/4RP1P/2Q5/q1P5/2KR4 w - - acn 430903; acs 1; bm Qb4+ Qe5+; ce 32756; dm 6; pv Qe5+ Kc5 d6+ Kc6 Qc3+ Qc4 Rxc4+ Kb6 Rb4+ Ka6 Qa3#;
rnb4r/1p3Q2/p3p2p/1Bk1P1b1/3p4/2N5/PPP3PP/5R1K w - - acn 4576676; acs 11; bm Qc7+; ce 32756; dm 6; pv Qc7+ Nc6 Bxc6 dxc3 b4+ Kc4 Be8+ Kd4 Qc5+ Ke4 Bg6#;
rnb4k/5p1p/4pNp1/p3P3/8/7R/n4PPP/1QB2qK1 w - - acn 7001; acs 0; bm Kxf1; ce 32756; dm 6; pv Kxf1 Ba6+ Kg1 h6 Rxh6+ Kg7 Rh7+ Kf8 Rh8+ Ke7 Re8#;
rnb4Q/pppk1p1p/8/4p3/8/B1P2N2/P1PP1K1P/q7 w - - acn 399889; acs 1; bm Nxe5+; ce 32756; dm 6; pv Nxe5+ Ke6 Qe8+ Kf6 Qxf7+ Kg5 h4+ Kxh4 Be7+ Kh3 Qh5#;
rnb3r1/ppp3k1/4p3/1B1pN3/1Q6/8/P3KP1P/RN5q w - - acn 233685; acs 1; bm Qe7+; ce 32756; dm 6; pv Qe7+ Kh8 Qh4+ Kg7 Qg5+ Kh7 Qh5+ Kg7 Qg6+ Kh8 Nf7#;
rnb3q1/pp1p1kpp/2N2b2/2p5/2PP1Q2/8/P1P3PP/4RRK1 w - - acn 4114307; acs 9; bm Re7+; ce 32756; dm 6; pv Re7+ Kf8 Qxf6+ gxf6 Rxf6+ Qf7 Rfxf7+ Kg8 Nd8 h6 Re8#;
rnb3nr/ppppb1kp/8/5Q2/2BPP2P/8/PPP2PP1/RN2K2R w KQ - acn 6548987; acs 11; bm Qf7+; ce 32756; dm 6; pv Qf7+ Kh6 g4 Bb4+ Nd2 Be7 g5+ Bxg5 hxg5+ Kxg5 Qf5#;
rnb3nr/ppp1bB1p/5qp1/7k/4P3/5NQP/PPP2PP1/RNB1K2R w KQ - acn 6068157; acs 11; bm Bd2 Nc3 Qe5+ Qg4+ c3; ce 32756; dm 6; pv Qg4+ Bxg4 hxg4+ Kxg4 Nh2+ Kh4 Nf1+ Kg4 Be6+ Qf5 f3#;
rnb3nr/ppkpqNp1/2p4p/4P1R1/2B5/8/PPP2P1P/R1BQK3 w Q - acn 809256; acs 1; bm Qd6+; ce 32756; dm 6; pv Qd6+ Qxd6 exd6+ Kb6 Be3+ c5 Bxc5+ Ka5 Rg3 h5 Ra3#;
rnb3nr/pp2b1kp/2p3q1/7Q/5B2/8/PPP3PP/4RR1K w - - acn 1726994; acs 3; bm Rxe7+; ce 32756; dm 6; pv Rxe7+ Kf8 Bd6+ Bf5 Rxh7+ Ne7 Qxg6 Rxh7 Rxf5+ Rf7 Qxf7#;
rnb3nN/pp1pp1k1/1R5b/q6p/8/8/PKPPPPP1/2rQ1BNR b - - acn 321787; acs 1; bm axb6; ce 32756; dm 6; pv axb6 Rh3 Qxa2+ Kc3 Ra3+ Kb4 Na6+ Kb5 Qd5+ Kxb6 Qc5#;
rnb3kr/ppp4p/7B/2bpp3/7q/2PB1Q2/PPP3PP/R3KR2 w Q - acn 56432; acs 0; bm g3; ce 32756; dm 6; pv g3 Qe7 Qxd5+ Be6 Rf8+ Qxf8 Qxe6+ Qf7 Qg4+ Qg7 Qxg7#;
rnb3kr/pp2q2p/3p4/3p2P1/3PPQp1/8/PPP3P1/4RRK1 w - - acn 3252163; acs 6; bm exd5; ce 32756; dm 6; pv exd5 Be6 Rxe6 Nd7 Rxe7 Rf8 Rf7 h6 Rxf8+ Nxf8 Qf7#;
rnb3k1/pppp4/5QB1/3p4/1b1P4/2q2K2/P4P1P/8 w - - acn 4953; acs 0; bm Kg2; ce 32756; dm 6; pv Kg2 Qh3+ Kxh3 d6+ Kh4 Be6 Qxe6+ Kh8 Qf7 c6 Qh7#;
rnb3k1/pp3p2/4p2Q/1qppP3/3P4/P4N2/1PPN1P1P/R2K4 w - - acn 2691763; acs 4; bm Ng5; ce 32756; dm 6; pv Ng5 Qd7 Nh7 f6 Qg6+ Qg7 Nxf6+ Kh8 Qh5+ Qh7 Qxh7#;
rnb3k1/pp1p1pb1/4r2p/3N4/3P3B/6Q1/PqP2PPP/R4RK1 w - - acn 850174; acs 2; bm Bf6; ce 32756; dm 6; pv Bf6 Rxf6 Nxf6+ Kh8 Rae1 Qb4 Re8+ Qf8 Rxf8+ Bxf8 Qg8#;
