rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
rq5k/3p3p/2n2P1N/bp1Q4/8/5p2/1R6/3K4 w - - acn 859181; acs 2; bm Nf7+; ce 32754; dm 7; pv Nf7+ Kg8 Ng5+ Kh8 Rh2 Qxh2 Nf7+ Kg8 Nh6+ Kh8 Qg8+ Rxg8 Nf7#;
rq5k/1p1pp2P/1B1p2R1/4P1Q1/8/8/N1pp2K1/b7 w - - acn 1158654; acs 3; bm Bd8; ce 32754; dm 7; pv Bd8 Qxd8 Kh3 Ra3+ Nc3 Rxc3+ Kh2 Rh3+ Kxh3 e6 Rg8+ Qxg8 hxg8=Q#;
rq4nr/p2pkpQp/1pbN4/4Pp2/2P5/2N5/PP2B1PP/n5K1 w - - acn 10672675; acs 25; bm Qxf7+; ce 32754; dm 7; pv Qxf7+ Kd8 Qf8+ Kc7 Ncb5+ Bxb5 Nxb5+ Kb7 Bf3+ d5 Bxd5+ Ka6 Qa3#;
rq3rk1/5ppp/Pn6/1B1P4/2P1N3/8/PB2QPP1/2n4K w - - acn 4832470; acs 9; bm Nf6+; ce 32754; dm 7; pv Nf6+ Kh8 Qe4 Qh2+ Kxh2 g6 Qf4 Nd7 Qh6 Nxf6 Bxf6+ Kg8 Qg7#;
rnk1n2r/3R1Qp1/pqp1P2p/1p6/8/8/1P4PB/4R2K w - - acn 97418645; acs 175; bm Qe7 Red1; ce 32754; dm 7; pv Red1 g6 Qe7 Nd6 Bxd6 Ra7 Rxa7 Rh7 Qxh7 Qg1+ Rxg1 h5 Qg8#;
rnbqrk2/pp1p1p1Q/2p2p2/4P3/8/3B4/P4PPP/R4RK1 w - - acn 19326266; acs 47; bm Qh6+ Qh8+; ce 32754; dm 7; pv Qh8+ Ke7 Qxf6+ Kf8 Qh6+ Kg8 Bh7+ Kh8 Bg6+ Kg8 Qh7+ Kf8 Qxf7#;
rnbqkb1r/pppp3p/5pp1/2n1N2Q/2B5/2N5/PPPP1PPP/R1B1K2R w KQkq - acn 8258099; acs 23; bm Bf7+; ce 32754; dm 7; pv Bf7+ Ke7 Nd5+ Kd6 Nc4+ Kc6 Nb4+ Kb5 a4+ Kxb4 c3+ Kb3 Qd1#;
rnbqk2r/ppppb2p/5nN1/7Q/4P3/8/PPPP3p/RNB2R1K w - - acn 3776980; acs 11; bm Rxf6; ce 32754; dm 7; pv Rxf6 Bxf6 Ne5+ Ke7 Qf7+ Kd6 Nc4+ Kc5 Qd5+ Kb4 a3+ Ka4 b3#;
rnbq2kr/ppp5/7p/4B3/1b1Pp1pP/3B4/PPP3P1/R4RK1 w - - acn 621228; acs 2; bm Bc4+; ce 32754; dm 7; pv Bc4+ Qd5 Bxd5+ Be6 Bxe6+ Kh7 Rf7+ Kg6 Rg7+ Kh5 Bxg4+ Kxh4 g3#;
rnbq2kr/ppp4p/7B/2bpp3/8/2PB1Q2/PPP3PP/R3K2R w KQ - acn 10491363; acs 19; bm Rf1; ce 32754; dm 7; pv Rf1 Qh4+ g3 Qe7 Qxd5+ Be6 Rf8+ Qxf8 Qxe6+ Qf7 Qg4+ Qg7 Qxg7#;
rnbq1kr1/ppp3bp/3p4/8/3PPp2/1QP2p2/PP4PP/RNB2RK1 b - - acn 508265; acs 1; bm Bxd4+; ce 32754; dm 7; pv Bxd4+ Rf2 Rxg2+ Kf1 Rxf2+ Ke1 Qg5 Qf7+ Kxf7 Nd2 Qg1+ Nf1 Qxf1#;
rnbq1k2/pppp3p/8/8/3bPp2/1QP2p2/PP1P1RrP/RNB2K2 b - - acn 2897873; acs 7; bm Rg1+ Rxf2+; ce 32754; dm 7; pv Rxf2+ Ke1 Rf1+ Kxf1 Qg5 Qa3+ d6 Qxd6+ cxd6 cxd4 Qg2+ Ke1 Qg1#;
rnbq1bnr/pp2k1p1/3p3p/4N3/4P3/2N5/PP3PPP/R1BQK2R w KQ - acn 30323776; acs 56; bm Nd5+; ce 32754; dm 7; pv Nd5+ Ke6 Qg4+ Kxe5 Bf4+ Kxe4 Nc3+ Kd3 Rd1+ Kc4 Qe2+ Kb4 Qb5#;
rnbq1bkr/pp1p4/2p2p1p/4P2Q/8/8/PPP3PP/RNB2RK1 w - - acn 6481331; acs 17; bm Qg6+; ce 32754; dm 7; pv Qg6+ Bg7 exf6 Qb6+ Kh1 Qg1+ Rxg1 Rh7 Bxh6 d6 Qe8+ Bf8 Qxf8#;
rnbQ1b1r/pp3k1p/4q1p1/8/2B1P3/4P3/PPP3PP/R5K1 w - - acn 4213864; acs 12; bm Rf1+; ce 32754; dm 7; pv Rf1+ Kg7 Bxe6 h5 Rf7+ Kh6 g4 Bg7 g5+ Kh7 Rxg7+ Kxg7 Qe7#;
rnb4r/pppp1Rp1/6P1/8/1P1k2nb/2NB4/P1P5/R1BK4 w - - acn 662904; acs 2; bm Nb5+; ce 32754; dm 7; pv Nb5+ Kd5 c4+ Kc6 Nd4+ Kd6 Bf4+ Ne5 Be4 c6 c5+ Kc7 Ne6#;
rnb4r/pp1pnQ1p/2p5/6k1/3PP3/8/PPP3PP/R5K1 w - - acn 34558663; acs 66; bm Qxe7+ Rf1; ce 32754; dm 7; pv Qxe7+ Kh5 Qf7+ Kg5 Qg7+ Kh5 g4+ Kh4 Qh6+ Kxg4 Kg2 d6 h3#;
rnb4r/1p3Q2/p2kp2p/1B4b1/3pP3/2N5/PPP3PP/5R1K w - - acn 36093416; acs 103; bm e5+; ce 32754; dm 7; pv e5+ Kc5 Qc7+ Nc6 Bxc6 dxc3 b4+ Kc4 Be8+ Kd4 Qc5+ Ke4 Bg6#;
rnb4k/5p1p/q3pNp1/p3P3/8/7R/n4PPP/1QB2K2 w - - acn 44956; acs 0; bm Ke1 Kg1; ce 32754; dm 7; pv Kg1 Qf1+ Kxf1 Ba6+ Kg1 h6 Rxh6+ Kg7 Rh7+ Kf8 Rh8+ Ke7 Re8#;
rnb3q1/pp1p2pp/4kb2/2p1N3/2PP1Q2/8/P1P3PP/4RRK1 w - - acn 110541534; acs 276; bm Nc6+ Ng4+; ce 32754; dm 7; pv Nc6+ Kf7 Re7+ Kf8 Qxf6+ gxf6 Rxf6+ Qf7 Rfxf7+ Kg8 Nd8 h6 Re8#;
rnb3kr/1p2p1b1/p3Pnpp/qBp3N1/8/2NQB3/P1P3PP/1R3RK1 w - - acn 40898491; acs 99; bm Qxg6 Rxf6; ce 32754; dm 7; pv Rxf6 hxg5 Qxg6 Qd8 Qf7+ Kh7 Bd3+ Qxd3 Qh5+ Bh6 Qxh6+ Kg8 Rf8#;
rnb3k1/pppp4/5QB1/3p4/1b1P4/2P5/Pq2KP1P/8 w - - acn 39574; acs 0; bm Kf3; ce 32754; dm 7; pv Kf3 Qxc3+ Kg2 Qh3+ Kxh3 d6+ Kh4 Be6 Qxe6+ Kh8 Qf7 c6 Qh7#;
rnb3k1/4q2p/2p1P1pb/1p2Q3/p7/1B6/PPP2PPP/3RK2R w K - acn 5804120; acs 13; bm Rd8+; ce 32754; dm 7; pv Rd8+ Bf8 Rxf8+ Qxf8 e7+ axb3 Qh8+ Kf7 exf8=Q+ Ke6 Qd4 h6 Qff6#;
rnb3Q1/pp1pk1P1/5q2/5p2/2B5/2P5/P4PPP/2B1K2R w K - acn 6245695; acs 15; bm Bg5; ce 32754; dm 7; pv Bg5 d5 Bxf6+ Kxf6 Qf8+ Ke5 f4+ Ke6 g8=Q+ Kd7 Qxd5+ Kc7 Qdd6#;
rnb2rk1/pp1nqppp/4p3/3pP3/3p3P/2NB3N/PPP2PP1/R2QK2R w KQ - acn 10351933; acs 24; bm Bxh7+; ce 32754; dm 7; pv Bxh7+ Kh8 Qh5 Qxh4 Qxh4 g5 Nxg5 Nxe5 Bf5+ Kg7 Qh6+ Kg8 Qh8#;
rnb2r2/ppqp1k1p/2p3pQ/8/8/8/P4PPP/R3R1K1 w - - acn 10732391; acs 24; bm Qxh7+; ce 32754; dm 7; pv Qxh7+ Kf6 Qe7+ Kf5 Qxf8+ Kg5 Re4 Qxh2+ Kxh2 d6 Qf4+ Kh5 Qh4#;
rnb2r1k/ppp4p/3b1q2/8/3P2pN/1Q4P1/PPP1P1B1/RN4KR b - - acn 1278522; acs 2; bm Qf2+; ce 32754; dm 7; pv Qf2+ Kh2 Rf3 Qxf3 gxf3 Rd1 fxg2 Nxg2 Bh3 Rg1 Qxg3+ Kh1 Qh2#;
rnb2bnr/ppppq1kp/8/5QB1/2BPP2P/8/PPP2PP1/RN2K2R w KQ - acn 60124955; acs 119; bm Bxe7; ce 32754; dm 7; pv Bxe7 Bxe7 Qf7+ Kh6 g4 Bb4+ Nd2 Be7 g5+ Bxg5 hxg5+ Kxg5 Qf5#;
rnb2b2/pppp1k2/8/3p2Q1/3P4/3B4/PPPK1P1P/q7 w - - acn 555993; acs 1; bm Bg6+; ce 32754; dm 7; pv Bg6+ Kg7 Be4+ Kf7 Bxd5+ Ke8 Qe5+ Be7 Qh5+ Kd8 Qh8+ Bf8 Qxf8#;
rnb2b1r/p2p1p1p/4k3/1p1NP1q1/2QP1p2/8/PP1B1KPP/n6R w - - acn 403143; acs 1; bm Nxf4+; ce 32754; dm 7; pv Nxf4+ Ke7 Nd5+ Ke8 Qxc8+ Qd8 Nc7+ Ke7 Bb4+ d6 Bxd6+ Qxd6 Qe8#;
rnb2Rnr/ppp3pp/3p4/2kPQ3/2q1P3/N7/PPP4p/R1B4K w - - acn 5863805; acs 13; bm b4+; ce 32754; dm 7; pv b4+ Kb6 Nxc4+ Ka6 b5+ Kxb5 Rb1+ Kxc4 Qb2 c5 Bd2 h6 Qc3#;
rnb1r2k/pp2P2p/2p2p2/3p1P2/7q/1BB5/P2Q3P/6RK w - - acn 4336848; acs 8; bm Qf4; ce 32754; dm 7; pv Qf4 Bxf5 Qxh4 Be4+ Qxe4 Nd7 Qf4 d4 Qg4 Rg8 Qxg8+ Rxg8 Rxg8#;
rnb1r2k/pp2P2p/2p2p2/3p1P2/7q/1BB1Q3/P6P/6RK w - - acn 15725610; acs 26; bm Qf4; ce 32754; dm 7; pv Qf4 Bxf5 Qxh4 Be4+ Qxe4 Nd7 Qf4 d4 Qg4 Rg8 Qxg8+ Rxg8 Rxg8#;
rnb1r2k/pp2NR1p/6p1/2p1b1B1/2P5/8/q3B1PP/1R1Q2K1 w - - acn 37196665; acs 69; bm Qd6; ce 32754; dm 7; pv Qd6 Qxb1+ Bf1 Bg7 Bf6 Qa1 Bxa1 Bxa1 Rxh7+ Kxh7 Qxg6+ Kh8 Qh6#;
rnb1r1k1/ppqp2pp/8/6NQ/3bn3/2N5/PPP3PP/R4RK1 w - - acn 17004; acs 0; bm Kh1; ce 32754; dm 7; pv Kh1 Qxh2+ Kxh2 Be5+ g3 Bxg3+ Kg2 Nf6 Qf7+ Kh8 Qxe8+ Ng8 Nf7#;
rnb1r1k1/ppppBp1p/1b1P1p2/1q6/8/8/PP3PPP/R2QR1K1 w - - acn 498575; acs 1; bm Qg4+; ce 32754; dm 7; pv Qg4+ Qg5 Bxf6 Bxf2+ Kh1 Rxe1+ Rxe1 h6 Re8+ Kh7 Qe4+ Qg6 Rh8#;
rnb1qr1k/pp1pb1p1/2p2p1p/5N1Q/2n1PN2/7R/PB3PPP/R5K1 w - - acn 25789161; acs 58; bm Ng6+; ce 32754; dm 7; pv Ng6+ Kh7 Qxh6+ gxh6 Rxh6+ Kg8 Rh8+ Kf7 Rh7+ Kxg6 Rg7+ Kh5 g4#;
rnb1q2r/pppp3p/5Q2/3kP3/3P4/8/PPP3PP/RN4K1 w - - acn 3667320; acs 10; bm Nc3+; ce 32754; dm 7; pv Nc3+ Kc4 Qf1+ Kxd4 Rd1+ Kxe5 Re1+ Kd4 Qd3+ Kc5 Qd5+ Kb4 a3#;
rnb1kbr1/pp5p/2p1q1pn/4Q1B1/4p3/2N5/PPP2PPP/3RKB1R w Kq - acn 18799216; acs 45; bm Rd8+; ce 32754; dm 7; pv Rd8+ Kf7 Bc4 Bg7 Bxe6+ Bxe6 Qc7+ Bd7 Rxd7+ Nxd7 Qxd7+ Kf8 Qe7#;
rnb1kb1r/pp1pp2p/2p5/q6n/P7/1QPp3n/1P1PN1KR/RNB5 b - - acn 5563193; acs 15; bm Qe5 Qf5 Qg5+ dxe2; ce 32754; dm 7; pv Qg5+ Kf1 Ng3+ Nxg3 Qf4+ Kg2 Qf2+ Kxh3 d5+ Kh4 Qxh2+ Kg5 Bh6#;
rnb1k3/pp4Q1/2pp4/1B4pp/3PP2q/6R1/PPP4P/2KR4 w - - acn 10514998; acs 15; bm Rf1; ce 32754; dm 7; pv Rf1 Qf4+ Rxf4 Bf5 e5 dxe5 d5 h4 d6 Kd8 Qe7+ Kc8 Qe8#;
rnb1k2r/pp4Qp/3q4/3Np3/3PP3/5P2/PPP1K1RP/R7 w - - acn 15736881; acs 33; bm Qxh8+; ce 32754; dm 7; pv Qxh8+ Qf8 Qxe5+ Be6 Qxe6+ Kd8 Rg8 Nd7 Rxf8+ Nxf8 Qe7+ Kc8 Qc7#;
rnb1k2r/pp1p1ppp/4p3/2p5/2PPnB2/1Q1BPK2/P2q1PPP/R5NR b kq - acn 13987550; acs 28; bm Qxf2+; ce 32754; dm 7; pv Qxf2+ Kxe4 Qxg2+ Nf3 Qg6+ Ke5 Qf6+ Kd6 Qe7+ Ke5 d6+ Ke4 f5#;
rnb1k1r1/ppp2p2/1b1p4/3Pp3/4P2q/2PBB3/PP2QPP1/RN3RK1 b q - acn 11227776; acs 21; bm Qh3; ce 32754; dm 7; pv Qh3 Bb5+ Nc6 Bxc6+ bxc6 g3 Rh8 Bh6 Qxg3+ Kh1 Rxh6+ Qh5 Rxh5#;
rnb1k1r1/pp1p2Pp/1q2p2Q/5p2/3N4/2PB4/P4PPP/2B1K2R w Kq - acn 52918292; acs 86; bm Bg5; ce 32754; dm 7; pv Bg5 e5 Qxh7 Rxg7 Qxg7 Qc5 Nb5 d5 Be2 Qxc3+ Nxc3 f4 Bh5#;
rnb1k1qr/pp2pN1p/2p2b2/5Q2/3P1B2/8/PPP2PP1/2KR1B2 w - - acn 8402437; acs 21; bm Qxc8+; ce 32754; dm 7; pv Qxc8+ Kxf7 Bc4+ e6 Qxe6+ Kg7 Bh6+ Kg6 Qg4+ Kxh6 Rh1+ Bh4 Rxh4#;
rn6/q4p1n/1b2p2R/1b1p2pN/2pp2Pk/2PP1P2/P2BP1pr/R3K1N1 w Q - acn 1128673; acs 3; bm e4; ce 32754; dm 7; pv e4 cxd3 exd5 f5 dxe6 Qf7 exf7 Bd7 O-O-O fxg4 Nf6+ Kg3 Ne4#;
rn6/pp3Pp1/5kr1/6p1/PbB1R3/2p2P2/1P4PP/2KR4 w - - acn 7039544; acs 17; bm f8=Q+ f8=R+; ce 32754; dm 7; pv f8=Q+ Bxf8 Bg8 cxb2+ Kb1 Nc6 Re6+ Kf5 Rd5+ Ne5 Rexe5+ Kf6 Re6#;
rn6/6p1/4p1K1/1N2k1B1/p1p3p1/2N1p1p1/2P3P1/8 w - - acn 500294; acs 1; bm Be7; ce 32754; dm 7; pv Be7 Ra6 Bh4 Kf4 Bg5+ Ke5 Bxe3 Rb6 Bd4+ Kf4 Ne2+ Ke4 Nbc3#;
rn6/1Np2K2/p3B3/p3k3/6pn/2pP2Pb/2Np1P1p/1R1r2b1 w - - acn 1478299; acs 5; bm Nxa5; ce 32754; dm 7; pv Nxa5 Kd6 Nb7+ Ke5 Rb4 Re1 Ne3 Rxe3 f4+ gxf3ep d4+ Ke4 Nc5#;
rn5k/pnq3p1/1pp1BrQ1/6p1/1bP5/7P/P4PP1/R1BR2K1 w - - acn 1264499; acs 3; bm Qh5+; ce 32754; dm 7; pv Qh5+ Rh6 Qe8+ Bf8 Qxf8+ Kh7 Bg8+ Kg6 Qe8+ Kf5 g4+ Kf6 Qe6#;
rn5k/1p4b1/pq1p4/2pPpp2/2b1N1Q1/6P1/PP1B1P1P/R5K1 w - - acn 5993944; acs 13; bm Qh5+; ce 32754; dm 7; pv Qh5+ Bh6 Qxh6+ Kg8 Nf6+ Kf7 Bg5 Bxd5 Qh7+ Ke6 Qg8+ Ke7 Qe8#;
rn5k/1RpppK2/8/b7/8/5p2/3p1p2/8 w - - acn 8427; acs 0; bm Rb5; ce 32754; dm 7; pv Rb5 c5 Rb1 f1=Q Rxf1 d1=Q Rxd1 Be1 Rxe1 Ra6 Rh1+ Rh6 Rxh6#;
rn5b/5p2/r1P5/2R3Bb/RP1kP3/3p4/P2Np3/2n1K3 w - - acn 2085203; acs 6; bm Bh4; ce 32754; dm 7; pv Bh4 Ke3 Rf5 Kd4 Ra3 Rxa3 Rc5 Ke3 Bg5+ Kd4 Bf4 f6 Rc4#;
rn4qr/pQpkp2p/4Nbp1/2pP4/5P2/5N2/PP1B2PP/1K5n w - - acn 10648536; acs 27; bm Qxc7+; ce 32754; dm 7; pv Qxc7+ Ke8 Qc8+ Kf7 Nfg5+ Bxg5 Nxg5+ Kg7 Bc3+ e5 Bxe5+ Kh6 Qh3#;
rn4kr/p5Bp/3N1p2/3Pp3/B5R1/PRp3P1/2b3q1/K3b3 w - - acn 1196893; acs 4; bm Bh6+; ce 32754; dm 7; pv Bh6+ Bg6 Be8 Qxd5 Bxg6 Qd1+ Bb1+ Qxg4 Ba2 Qd1+ Rb1+ Qd5 Bxd5#;
rn4k1/pp5p/3Prb1B/2p2R1Q/8/2N5/Pq4PP/7K w - - acn 333382; acs 1; bm Qg5+; ce 32754; dm 7; pv Qg5+ Kh8 Bg7+ Kg8 Bxf6+ Kf8 Bg7+ Ke8 Rf8+ Kd7 Qd8+ Kc6 Qc7#;
rn4k1/pp1b1p2/1r2pbp1/q3P2Q/1n4Rp/2NB4/PPP2BP1/1K5R w - - acn 1951229; acs 5; bm Rxg6+; ce 32754; dm 7; pv Rxg6+ fxg6 Bxg6 Qxa2+ Nxa2 Be8 Qh7+ Kf8 Bc5+ Rd6 Bxd6+ Be7 Bxe7#;
rn3rk1/pbppq1pp/1p2pb2/4N2Q/4N3/3B4/PPP2PPP/R3K2R w KQ - acn 11690247; acs 32; bm Qxh7+; ce 32754; dm 7; pv Qxh7+ Kxh7 Nxf6+ Kh6 Neg4+ Kg5 h4+ Kf4 g3+ Kf3 Kf1 g6 Nh2#;
rn3rk1/pbppq1pp/1p2pb2/4N2Q/3PN3/3B4/PPP2PPP/R3K2R w KQ - acn 15169469; acs 37; bm Qxh7+; ce 32754; dm 7; pv Qxh7+ Kxh7 Nxf6+ Kh6 Neg4+ Kg5 h4+ Kf4 g3+ Kf3 Kf1 g6 Nh2#;
rn3rk1/pbppq1pp/1p2pb2/4N2Q/3PN3/3B4/PPP2PPP/R3K2R w - - acn 12700367; acs 39; bm Qxh7+; ce 32754; dm 7; pv Qxh7+ Kxh7 Nxf6+ Kh6 Neg4+ Kg5 h4+ Kf4 g3+ Kf3 Kf1 g6 Nh2#;
rn3rk1/pb4p1/1p2p1B1/4N2p/2pP4/2q5/P3QP1P/1K1R2R1 w - - acn 1444273; acs 4; bm Bh7+; ce 32754; dm 7; pv Bh7+ Kxh7 Qxh5+ Kg8 Rxg7+ Kxg7 Rg1+ Bg2 Rxg2+ Qg3 Rxg3+ Kf6 Qg5#;
rn3rk1/p1q1bpp1/2p1R3/1p3bNQ/3P3P/1BP5/P1P2P2/R1B3K1 w - - acn 8132092; acs 17; bm Nxf7; ce 32754; dm 7; pv Nxf7 Rxf7 Rh6 Qh2+ Kxh2 Bd6+ Rxd6 Na6 Qxf7+ Kh8 Rd7 g6 Qh7#;
rn3rk1/4bpp1/2pp4/p3p1PR/Pp2P3/1BPPn3/1P3P2/RN1QK3 w Q - acn 4714648; acs 9; bm Rh8+; ce 32754; dm 7; pv Rh8+ Kxh8 Qh5+ Kg8 g6 Nc2+ Kf1 Ne3+ fxe3 Re8 gxf7+ Kf8 fxe8=Q#;
rn3rk1/3R3b/2p3pp/1pq1p2N/p5QP/8/PPP2PP1/3R2K1 w - - acn 3239839; acs 8; bm Qe6+; ce 32754; dm 7; pv Qe6+ Kh8 Rf7 Qxf2+ Rxf2 Nd7 Qe7 gxh5 Rxd7 Rf7 Qxf7 e4 Qxh7#;
rn3rk1/1pqbb3/p6Q/3pp3/8/1N2BR2/PPP4P/6nK w - - acn 4048980; acs 13; bm Qg6+ Rg3+; ce 32754; dm 7; pv Rg3+ Bg4 Rxg4+ Bg5 Rxg5+ Kf7 Rg7+ Ke8 Qe6+ Kd8 Rxc7 e4 Rc8#;
rn3r1k/pb2N2p/3Q1bp1/1p4N1/5P1q/4B3/PPP1B1PP/R6K w - - acn 34560518; acs 69; bm Nxg6+; ce 32754; dm 7; pv Nxg6+ Kg7 Qxf8+ Kxg6 Qg8+ Kf5 Qe6+ Kg6 f5+ Kg7 Qf7+ Kh8 Qf8#;
rn3r1k/p1p1q2B/1p5Q/8/1n1P4/2N1PP2/PP3P2/R3K3 w Q - acn 11670885; acs 22; bm Bc2+ Bd3+; ce 32754; dm 7; pv Bd3+ Kg8 Bc4+ Rf7 Ke2 Nd5 Rg1+ Rg7 Bxd5+ Kf8 Qh8+ Rg8 Rxg8#;
rn3r1k/1pqbb3/p5Q1/3pp3/8/1N2BR2/PPP1n2P/R6K w - - acn 4774220; acs 13; bm Rg1; ce 32754; dm 7; pv Rg1 Nxg1 Rg3 Bg4 Rxg4 Bg5 Bxg5 Rf7 Bf6+ Rg7 Rh4+ Kg8 Qe8#;
rn3k2/pQ2n1b1/3Np2B/8/3P4/6P1/PPP1K3/q7 w - - acn 2168844; acs 5; bm Bxg7+; ce 32754; dm 7; pv Bxg7+ Kxg7 Qxe7+ Kg6 Qxe6+ Kh7 Nf5 Qd1+ Kxd1 a6 Qh6+ Kg8 Qg7#;
rn3k2/1p4R1/3N3P/2p2p2/2P1bP2/1p6/q3P3/2KR4 w - - acn 2511; acs 0; bm Rf7+; ce 32754; dm 7; pv Rf7+ Kg8 Rg1+ Bg2 Rxg2+ Kh8 Rh7+ Kxh7 Rg7+ Kxh6 Nxf5+ Kh5 Rg5#;
rn3k1r/ppq1b1pp/2p5/4N1B1/3P2P1/1B5P/PP2QPK1/7R w - - acn 85529019; acs 168; bm Re1; ce 32754; dm 7; pv Re1 Qd8 Nf7 Bxg5 Nxd8 g6 f4 h5 fxg5 Rh7 Qf2+ Rf7 Qxf7#;
rn3k1r/pp4pp/1n2Q3/3P2q1/2p5/2N5/PP4PP/R3K2R w KQ - acn 11481754; acs 19; bm O-O+; ce 32754; dm 7; pv O-O+ Qf6 Rxf6+ gxf6 Qxf6+ Ke8 Re1+ Kd7 Re7+ Kd8 Rf7+ Ke8 Qe7#;
rn3k1b/p1q2P2/1p2P1p1/3p2B1/2pP4/2P5/P1P5/R4R1K w - - acn 947937; acs 2; bm Bh6+; ce 32754; dm 7; pv Bh6+ Bg7 Bxg7+ Kxg7 f8=Q+ Kh7 Rf3 Qh2+ Kxh2 g5 Qf7+ Kh8 Rh3#;
rn3bnr/ppk1pQpp/2p5/2N5/2B5/4B3/P1P1KPPP/7q w - - acn 16449392; acs 35; bm Bf4+; ce 32754; dm 7; pv Bf4+ Kb6 Na4+ Ka5 Bd2+ Kxa4 Bd3 Qf1+ Kxf1 e6 Qxb7 h6 Qb3#;
rn3N2/8/4R2b/B3R3/3kP1N1/K2n4/8/1q6 w - - acn 4099; acs 0; bm Rd6+; ce 32754; dm 7; pv Rd6+ Kc4 Rd4+ Kxd4 Ne6+ Kc4 Rc5+ Nxc5 Ne5+ Kb5 Nc7+ Kxa5 Nc4#;
