8/qkqqb2p/4n2P/1NRRqNQK/1B2b3/1QQQnQQP/4p2Q/qnqrr2B w - - acn 162473668; acs 265; bm Rxd7; ce 32752; dm 8; pv Rxd7 Nf4+ Qfxf4 Qxd7 Qfxe4+ Qed5 Qc7+ Qxc7 Rxc7+ Kb6 Qgxe3+ Bc5 Bxc5+ Qxc5 Nxa7#;
2k5/1pPp4/1P1P1P2/5P2/P5p1/6N1/5Bp1/Q5K1 w - - acn 29860; acs 0; bm Nf1; ce 32752; dm 8; pv Nf1 g3 Bd4 gxf1=Q+ Qxf1 g2 Qa6 bxa6 f7 Kb7 f8=Q Kc6 Qa8+ Kxd6 c8=N#;
2k4r/3b2R1/1K1B4/8/4B3/8/8/8 w - - acn 9600030; acs 14; bm Bf4; ce 32752; dm 8; pv Bf4 Kd8 Bg5+ Ke8 Bg6+ Kf8 Rxd7 Rh3 Bf6 Rb3+ Kc7 Rc3+ Bxc3 Kg8 Rd8#;
2k1b3/3N4/8/1K6/2n5/1n3R2/3Q4/8 w - - acn 33072455; acs 51; bm Qd5; ce 32752; dm 8; pv Qd5 Nd4+ Qxd4 Bxd7+ Kc5 Ne5 Rf8+ Kb7 Qb4+ Bb5 Qxb5+ Kc7 Qb6+ Kd7 Qd6#;
2k1N3/P1Npp3/1p1pp3/4Rp1K/1P5p/1B6/3Pp3/7q w - - acn 7938574; acs 17; bm Bd5; ce 32752; dm 8; pv Bd5 Qa1 Ba2 Qh1 Rd5 Qf3+ Kh6 Qa3 Ra5 Qf3 Nd5 Qe3+ Nxe3 h3 a8=Q#;
2bn4/5BpR/1R1p1b1n/6p1/3p4/8/2p5/k1K5 w - - acn 1698741; acs 3; bm Rb4; ce 32752; dm 8; pv Rb4 Bd7 Rb8 Bc6 Rb6 Bb5 Rxb5 Nc6 Rb6 Na5 Rb4 Nb3+ Bxb3 g4 Ra4#;
2bbN2B/np1pp2p/N7/rp4p1/2p2kBp/5P2/5PP1/n1RK4 w - - acn 12332305; acs 28; bm Nb4; ce 32752; dm 8; pv Nb4 e6 Nd3+ cxd3 Rc5 d5 Rc7 Bxc7 Ng7 Ke5 Nf5+ Kf4 g3+ hxg3 fxg3#;
2bR1N2/1p1p4/1BpP4/1pP5/1p6/1P3p2/P4P2/kBN3K1 w - - acn 15897294; acs 38; bm Bg6; ce 32752; dm 8; pv Bg6 Kb2 Kf1 Kc3 Ke1 Kd4 Kd2 Kd5 Nh7 Ke5 Re8+ Kd5 Nf6+ Kd4 Re4#;
2b5/r1n3k1/1P1P4/NP1n2p1/p3KpN1/P5P1/2rb4/5R2 b - - acn 90799905; acs 195; bm Bxg4; ce 32752; dm 8; pv Bxg4 dxc7 Nf6+ Kd3 Bf5+ Ke2 Bxa5+ Kd1 Nd5 Rf3 Ne3+ Rxe3 fxe3 g4 e2#;
2b5/np1p4/1Pp5/2PkNN1R/8/2p4K/2P5/8 w - - acn 37291859; acs 76; bm bxa7; ce 32752; dm 8; pv bxa7 d6 a8=Q Bxf5+ Ng4 b6 Rxf5+ Ke4 Qc8 b5 Qe6+ Kd4 Qxd6+ Ke4 Qd3#;
2b5/Q1p2p2/1np5/1p2p3/1K2kp1N/3N2b1/P5P1/5BB1 w - - acn 9784061; acs 23; bm Nc5+; ce 32752; dm 8; pv Nc5+ Kd5 Qxc7 Be1+ Kb3 Nd7 Nb7 f3 Qd6+ Ke4 gxf3+ Kf4 Qh6+ Kg3 Qg5#;
2b5/1p1p1p2/1P1k1P2/P1N5/1N1B2P1/4K3/8/8 w - - acn 21790805; acs 46; bm Ncd3; ce 32752; dm 8; pv Ncd3 Ke6 Nf4+ Kd6 Nfd5 Ke6 Nc7+ Kd6 Nd3 Kc6 Ne5+ Kd6 Bb2 Kc5 Ba3#;
2b2r2/8/8/8/5p2/2K5/8/5QBk w - - acn 10639454; acs 18; bm Bc5+ Qf2; ce 32752; dm 8; pv Bc5+ Kh2 Bxf8 Bb7 Qxf4+ Kg2 Qg4+ Kf1 Bc5 Bc8 Qg1+ Ke2 Qf2+ Kd1 Qf1#;
2b2b1r/4BP1r/1p4Rp/4k2P/1P1pP2P/2PppP2/3P2NN/K7 w - - acn 20933130; acs 62; bm Ne1; ce 32752; dm 8; pv Ne1 Ba6 b5 Bxb5 Ng2 Bd7 Bd8 dxc3 dxe3 Be6 Bc7+ Bd6 Ng4+ Bxg4 Bxd6#;
2b1k3/1p1p2K1/3B2p1/4p3/4p1R1/1R1prPp1/n6p/6b1 w - - acn 3141238; acs 8; bm Rh4; ce 32752; dm 8; pv Rh4 h1=Q Rxh1 Bh2 Rc1 Nxc1 Rc3 Kd8 Rc5 g2 f4 g1=Q Bc7+ Ke8 Rxe5#;
2b1B2n/4p1K1/pN2k1p1/n3P3/pp1P1p1N/3R1P1P/1P1B3r/q1br1R2 w - - acn 140954375; acs 392; bm Rg1 Rxd1; ce 32752; dm 8; pv Rg1 Rxg1 Bc3 bxc3 Na8 Kd5 b3 axb3 Nb6+ Ke6 Bc6 Nxc6 d5+ Kxe5 Nc4#;
2K5/7k/7b/8/7Q/8/4p3/1q6 b - - acn 2778229; acs 4; bm e1=R; ce 32752; dm 8; pv e1=R Qg4 Rc1+ Kd8 Qb8+ Kd7 Qc8+ Ke7 Re1+ Qe4+ Rxe4+ Kd6 Bf4+ Kd5 Qc4#;
2K5/5Q2/2p5/8/8/8/8/kqN1N3 w - - acn 6476821; acs 11; bm Qa7+; ce 32752; dm 8; pv Qa7+ Kb2 Qc5 Qe4 Ned3+ Kb1 Qb6+ Kc2 Qb2+ Kd1 Nf2+ Ke1 Nxe4 c5 Qe2#;
2K5/4p2p/1p2p2p/pPpkP1pP/P5P1/2BB4/5P2/8 w - - acn 3643502; acs 8; bm f3; ce 32752; dm 8; pv f3 c4 Bf1 Kc5 Bg2 Kd5 f4+ Kc5 fxg5 hxg5 Ba8 h6 Kb7 Kd5 Kxb6#;
2K5/1n1PNpP1/b2R1p2/1p2kB1n/1P6/8/8/8 w - - acn 17445169; acs 36; bm g8=Q; ce 32752; dm 8; pv g8=Q Nxd6+ Kb8 Ng7 Qxg7 Nxf5 Nxf5 Bb7 Qg3+ Kxf5 d8=Q Bc6 Qdd3+ Be4 Qd7#;
2K4k/7q/5P2/8/7P/1B4Q1/8/8 w - - acn 807725; acs 2; bm Kb8; ce 32752; dm 8; pv Kb8 Qg6 Qe5 Qf5 Qe8+ Kh7 Bc2 Kh6 Qh8+ Kg6 Qg7+ Kh5 Bxf5 Kxh4 Qg4#;
2K2n2/1p5n/kBPNp3/P2P4/pp6/1p5N/1PpP2p1/7b w - - acn 9201826; acs 23; bm Ne8; ce 32752; dm 8; pv Ne8 Kb5 Nc7+ Kc4 Nf4 c1=N Ne8 Kb5 Nd6+ Ka6 Nxe6 Nxe6 cxb7 g1=Q b8=N#;
2K2n2/1P1P4/1P1P4/2k5/8/8/8/8 w - - acn 4474733; acs 7; bm d8=Q; ce 32752; dm 8; pv d8=Q Ne6 Qe8 Nd8 Qe5+ Kc4 b8=Q Nb7 Qc7+ Nc5 Qcxc5+ Kb3 Qcc3+ Ka2 Qb2#;
2K1kNb1/1n4B1/3p2Np/1pb2Rp1/p5pp/R7/2B3n1/7r w - - acn 197003097; acs 357; bm Bd3; ce 32752; dm 8; pv Bd3 Rb1 Bb2 Rxb2 Rb3 Rxb3 Nd7 d5 Nf6+ Kf7 Nh5+ Kxg6 Rf6+ Kxh5 Bg6#;
2K1k3/8/3p1P2/2P3b1/8/8/8/5R2 w - - acn 3782599; acs 6; bm cxd6 f7+; ce 32752; dm 8; pv f7+ Kf8 c6 d5 c7 d4 Kb8 d3 c8=Q+ Bd8 Qxd8+ Kg7 Qg8+ Kh6 Rh1#;
2BK2R1/3p4/2Pp1p2/p1Pp1p2/3Qbk2/3p1p1q/6nP/n2r1RB1 w - - acn 80581598; acs 176; bm Qf2; ce 32752; dm 8; pv Qf2 d4 Qxd4 d5 Qf2 d4 Qxd4 d5 Qf2 d2 Qg3+ Qxg3 hxg3+ Ke5 Re8#;
2B4N/4p3/1N6/1p6/bpp5/1rp5/np1p2K1/1nbk4 w - - acn 1192513; acs 2; bm Kf1; ce 32752; dm 8; pv Kf1 Ra3 Bf5 e6 Nd5 exd5 Nf7 d4 Ne5 d3 Nc6 b3 Bg4+ Kc2 Nd4#;
2B1N3/5N2/4np2/1Knk4/1B1p4/3P4/2P5/5r2 w - - acn 2089395; acs 5; bm Be1; ce 32752; dm 8; pv Be1 Rf3 Bd2 Rf5 Bc1 Rf1 Bb2 Rf2 Ba3 Rf1 Bb4 Rf2 Bxc5 Nc7+ Nxc7#;
1rq2b1r/2N1k1pp/1pQp4/4n3/2P5/8/PP4PP/4RRK1 w - - acn 284890299; acs 653; bm Rxe5+; ce 32752; dm 8; pv Rxe5+ dxe5 Qd5 Qxc7 Rf7+ Ke8 Rxc7 Bc5+ Kh1 Be7 Qe6 Kf8 Qxe7+ Kg8 Qxg7#;
1r6/R1R5/6k1/8/8/8/p7/R3K3 w - - acn 16320500; acs 26; bm R1xa2 Ra6+; ce 32752; dm 8; pv Ra6+ Kg5 Rc5+ Kg4 Ra4+ Kg3 Rc3+ Kg2 Rg4+ Kh2 Rxa2+ Rb2 Rxb2+ Kh1 Rh3#;
1r6/5pk1/6p1/8/4PP1P/p7/b2K4/8 b - - acn 35247697; acs 41; bm Bb1 Bb3 Bc4 Bd5 Be6; ce 32752; dm 8; pv Bb3 h5 a2 h6+ Kxh6 f5 Rd8+ Ke2 a1=Q f6 Qg1 Kf3 Bd1+ Kf4 Qg5#;
1r5k/7B/6K1/8/4N3/8/1b6/B7 w - - acn 273043; acs 0; bm Nd6; ce 32752; dm 8; pv Nd6 Rg8+ Bxg8 Kxg8 Bxb2 Kf8 Bf6 Kg8 Be7 Kh8 Nf7+ Kg8 Nh6+ Kh8 Bf6#;
1r5k/4R3/5KPP/8/8/8/8/8 w - - acn 622046; acs 1; bm Re5 Re6; ce 32752; dm 8; pv Re6 Rf8+ Kg5 Rg8 h7 Rxg6+ Rxg6 Kxh7 Kf5 Kh8 Kf6 Kh7 Kf7 Kh8 Rh6#;
1r4k1/4R3/5KPP/8/8/8/8/8 w - - acn 251450; acs 0; bm Re6 h7+; ce 32752; dm 8; pv h7+ Kh8 Re6 Rc8 Kg5 Rc5+ Kh6 Rh5+ Kxh5 Kg7 h8=Q+ Kxh8 Kh6 Kg8 Re8#;
1r3r2/8/p6p/1p5k/4B2P/3P2P1/P6K/5R2 w - - acn 2868243; acs 6; bm Kh3; ce 32752; dm 8; pv Kh3 Rg8 Rc1 Rxg3+ Kxg3 Rg8+ Kh3 Rg4 Rc5+ Rg5 Rc6 Rg3+ Kxg3 b4 Bf3#;
1r2r1k1/1n1R1ppp/p7/1p2qN2/1P6/P4QP1/5P1P/2R3K1 w - - acn 50734969; acs 84; bm Nh6+; ce 32752; dm 8; pv Nh6+ Kh8 Nxf7+ Kg8 Nxe5 Nd8 Rcc7 Re7 Rxe7 Ne6 Rxg7+ Nxg7 Qf7+ Kh8 Qxg7#;
1r2k2r/8/8/8/8/8/8/R3K2R w KQk - acn 881127; acs 1; bm Rxh8+; ce 32752; dm 8; pv Rxh8+ Kd7 Rxb8 Kc7 Rf8 Kd7 Rf6 Ke7 Rg6 Kf7 Rb6 Kg7 Ra7+ Kg8 Rb8#;
1r2k2r/8/8/8/8/8/8/R3K2R b KQk - acn 817546; acs 1; bm Rxh1+; ce 32752; dm 8; pv Rxh1+ Ke2 Rxa1 Kd3 Ra3+ Kd4 Rb4+ Kc5 Raa4 Kd5 Ra5+ Kd6 Rc4 Ke6 Rc6#;
1r1r1k2/3R4/4K3/8/8/3p4/8/1R6 w - - acn 1249891; acs 1; bm Kf6; ce 32752; dm 8; pv Kf6 Rb6+ Rxb6 Re8 Rf7+ Kg8 Rbb7 d2 Rg7+ Kh8 Rh7+ Kg8 Rbg7+ Kf8 Rh8#;
1r1brR1B/2P4k/6p1/2R5/8/6KP/8/8 w - - acn 13921192; acs 23; bm cxb8=Q; ce 32752; dm 8; pv cxb8=Q Rxf8 Bf6 Be7 Qb7 Re8 Qd7 Kh6 Bxe7 g5 Bxg5+ Kg6 Qxe8+ Kg7 Rc7#;
1r1bq1Br/1p1P1n2/1R1nkP1N/2p3Pp/8/8/8/K7 b - - acn 6115999; acs 12; bm Kxd7; ce 32752; dm 8; pv Kxd7 Rxd6+ Nxd6 Nf5 Ra8+ Kb1 Qe1+ Kb2 Ne4 Be6+ Kc7 g6 Qd2+ Kb3 Qa2#;
1qrr1bk1/6p1/pp2p2p/4pp1Q/P1P1N2P/1P4P1/3RPPK1/3R4 w - - acn 35090830; acs 84; bm Nf6+; ce 32752; dm 8; pv Nf6+ gxf6 Qg6+ Kh8 Rd7 Qa8+ f3 Qxf3+ exf3 Be7 Rxe7 Rd2+ Rxd2 h5 Rh7#;
1q6/5p2/3k2pK/4R3/8/8/8/4B3 b - - acn 3406464; acs 6; bm Qh8+; ce 32752; dm 8; pv Qh8+ Kg5 Qxe5+ Kg4 Qxe1 Kf4 Qf2+ Kg4 Qe3 Kh4 Qg1 Kh3 f5 Kh4 Qg4#;
1q5r/8/8/Npbpn2p/Q1RR4/1P1PP1P1/p1K2P2/k6b w - - acn 3889491; acs 9; bm Rh4; ce 32752; dm 8; pv Rh4 Bg2 Rh1+ Bxh1 Rh4 Bg2 Rh1+ Bxh1 Qh4 Bf3 Qh1+ Bxh1 b4 h4 Nb3#;
1q2N3/2R1P3/8/3k1K2/8/2P5/8/8 w - - acn 928996; acs 1; bm Nf6+; ce 32752; dm 8; pv Nf6+ Kd6 e8=N+ Qxe8 Nxe8+ Kd5 Ng7 Kd6 Ne6 Kd5 Nd4 Kd6 Nb5+ Kd5 c4#;
1nr5/p2n1QPp/k2b3R/p2B3p/P2N3B/1KP4q/8/8 w - - acn 7208886; acs 14; bm Rxd6+; ce 32752; dm 8; pv Rxd6+ Rc6 Nxc6 Nc5+ Kc4 Qd3+ Kxc5 Nd7+ Qxd7 Qxc3+ Bc4+ Qxc4+ Kxc4 h6 Nxa7#;
1nKnB2r/pNN1b2P/p2pp2r/p7/2k3p1/P5P1/P1P1P2R/B7 w - - acn 11402952; acs 27; bm Rh4; ce 32752; dm 8; pv Rh4 Nxb7 Rxg4+ Kc5 Bd4+ Kc4 Bxh8+ Kc5 Bd4+ Kc4 Ba4 Nc5 Bb3+ Nxb3 cxb3#;
1nKnB2r/pNN1b2P/p2pp2r/p7/2k3p1/P5P1/P1P1P2R/B7 w - - acn 11312133; acs 30; bm Rh4; ce 32752; dm 8; pv Rh4 Nxb7 Rxg4+ Kc5 Bd4+ Kc4 Bxh8+ Kc5 Bd4+ Kc4 Ba4 Nc5 Bb3+ Nxb3 cxb3#;
1nK2B2/8/r1k1B1p1/b1PN3n/2pppp2/N7/1PPPP3/8 w - - acn 2775544; acs 6; bm b4; ce 32752; dm 8; pv b4 cxb3ep c4 dxc3ep d4 exd3ep e4 fxe3ep Nxe3 Nf6 Bh3 g5 Bg2+ Nd5 Bxd5#;
1nK2B2/8/r1k1B1p1/b1PN3n/2pppp2/N7/1PPPP3/8 w - - acn 2773231; acs 6; bm b4; ce 32752; dm 8; pv b4 cxb3ep c4 dxc3ep d4 exd3ep e4 fxe3ep Nxe3 Nf6 Bh3 g5 Bg2+ Nd5 Bxd5#;
1n4B1/n2p4/1ppp3N/1PbNk2p/1p1p2P1/1P1P2p1/7P/6BK w - - acn 5289014; acs 12; bm g5; ce 32752; dm 8; pv g5 h4 hxg3 hxg3 Kg2 Nc8 Kxg3 Ne7 Nxe7 d5 Nhf5 d6 Ng7 cxb5 Ng6#;
1n4B1/n2p4/1ppp3N/1PbNk2p/1p1p2P1/1P1P2p1/7P/6BK w - - acn 5249626; acs 12; bm g5; ce 32752; dm 8; pv g5 h4 hxg3 hxg3 Kg2 Nc8 Kxg3 Ne7 Nxe7 d5 Nhf5 d6 Ng7 cxb5 Ng6#;
1n2N3/rP4p1/1p1pN1p1/pK1Pk1B1/2P2pPR/1B1P1p2/p2b3r/5n2 w - - acn 36850633; acs 97; bm Rh7; ce 32752; dm 8; pv Rh7 a4 Rxg7 Ra5+ Kxb6 Ra6+ Kc7 Ba5+ Kxb8 Bc7+ Rxc7 Ra8+ bxa8=Q f2 Bf6#;
1n2N3/rP4p1/1p1pN1p1/pK1Pk1B1/2P2pPR/1B1P1p2/p2b3r/5n2 w - - acn 36414950; acs 96; bm Rh7; ce 32752; dm 8; pv Rh7 a4 Rxg7 Ra5+ Kxb6 Ra6+ Kc7 Ba5+ Kxb8 Bc7+ Rxc7 Ra8+ bxa8=Q f2 Bf6#;
1k6/8/3N4/1N6/4B1pK/8/8/8 w - - acn 7735267; acs 13; bm Bh1; ce 32752; dm 8; pv Bh1 g3 Kh3 g2 Kxg2 Ka8 Kf3 Kb8 Ke4 Ka8 Kd5 Kb8 Kc6 Ka8 Kc7#;
1k6/8/3N4/1N6/4B1pK/8/8/8 w - - acn 7595556; acs 14; bm Bh1; ce 32752; dm 8; pv Bh1 g3 Kh3 g2 Kxg2 Ka8 Kf3 Kb8 Ke4 Ka8 Kd5 Kb8 Kc6 Ka8 Kc7#;
1k6/3R4/PPK4r/8/8/8/8/8 w - - acn 65852; acs 0; bm Rd6; ce 32752; dm 8; pv Rd6 Rxd6+ Kxd6 Kc8 b7+ Kb8 Kc6 Ka7 Kc7 Kxa6 b8=Q Ka5 Qb3 Ka6 Qa4#;
1k6/3R4/PPK4r/8/8/8/8/8 w - - acn 65848; acs 0; bm Rd6; ce 32752; dm 8; pv Rd6 Rxd6+ Kxd6 Kc8 b7+ Kb8 Kc6 Ka7 Kc7 Kxa6 b8=Q Ka5 Qb3 Ka6 Qa4#;
1k6/1r6/2K5/8/8/8/8/Q7 w - - acn 347058; acs 1; bm Qa5; ce 32752; dm 8; pv Qa5 Rb1 Qe5+ Ka7 Qd4+ Ka8 Qh8+ Ka7 Qh7+ Kb8 Qxb1+ Kc8 Qb7+ Kd8 Qd7#;
1k6/1bN5/8/8/1B1b4/6r1/4p3/4K3 b - - acn 20907584; acs 40; bm Bf3; ce 32752; dm 8; pv Bf3 Nd5 Rg1+ Kd2 e1=Q+ Kd3 Qe2+ Kxd4 Qe4+ Kc3 Rc1+ Kb3 Qc2+ Ka3 Ra1#;
1k6/1bN5/8/8/1B1b4/6r1/4p3/4K3 b - - acn 20647324; acs 43; bm Bf3; ce 32752; dm 8; pv Bf3 Nd5 Rg1+ Kd2 e1=Q+ Kd3 Qe2+ Kxd4 Qe4+ Kc3 Rc1+ Kb3 Qc2+ Ka3 Ra1#;
1k6/1P6/1K6/1N6/2R5/2r5/8/8 w - - acn 216087; acs 0; bm Rc8+; ce 32752; dm 8; pv Rc8+ Rxc8 Na7 Rc7 Nc6+ Rxc6+ Kxc6 Ka7 Kc7 Ka6 b8=Q Ka5 Qb3 Ka6 Qa4#;
1k6/1P6/1K6/1N6/2R5/2r5/8/8 w - - acn 215586; acs 0; bm Rc8+; ce 32752; dm 8; pv Rc8+ Rxc8 Na7 Rc7 Nc6+ Rxc6+ Kxc6 Ka7 Kc7 Ka6 b8=Q Ka5 Qb3 Ka6 Qa4#;
1k4N1/nB6/P2K4/8/8/8/8/8 w - - acn 1781079; acs 4; bm Ne7; ce 32752; dm 8; pv Ne7 Nb5+ Kc6 Na3 Nc8 Nb5 Kb6 Na7 Ne7 Nc8+ Bxc8 Ka8 Bb7+ Kb8 a7#;
1k3rn1/p3b3/2Q5/2p3p1/2Pp4/6Pb/PP3q2/RNBR3K b - - acn 6787432; acs 13; bm Rf6; ce 32752; dm 8; pv Rf6 Bxg5 Rxc6 Bf4+ Bd6 Rd2 Qf3+ Kg1 Bxf4 gxf4 Rg6+ Kh2 Rg2+ Rxg2 Qxg2#;
1k2r3/3R4/PPK5/8/8/8/8/8 w - - acn 740761; acs 1; bm Rd6 a7+; ce 32752; dm 8; pv a7+ Ka8 Rd6 Rf8 Kb5 Rf5+ Ka6 Ra5+ Kxa5 Kb7 a8=Q+ Kxa8 Ka6 Kb8 Rd8#;
1k2n2r/pbp3b1/1p3ppq/8/PN3nP1/1P2pP2/2Q1RN2/1B1RB1K1 w - - acn 510009; acs 1; bm Nc6+; ce 32752; dm 8; pv Nc6+ Bxc6 Rd8+ Kb7 Qxc6+ Ka6 Qc4+ Kb7 Be4+ Nd5 Bxd5+ c6 Qxc6+ Ka6 Bc4#;
1k2N3/8/P7/1K6/8/8/8/8 w - - acn 520043; acs 1; bm Kb6; ce 32752; dm 8; pv Kb6 Kc8 a7 Kd8 a8=Q+ Ke7 Qe4+ Kf7 Qg4 Ke7 Kc6 Kf7 Kd7 Kf8 Qg7#;
1k2K3/7Q/8/1p6/4b3/8/6B1/1q6 w - - acn 754817; acs 1; bm Bxe4; ce 32752; dm 8; pv Bxe4 Qxe4+ Qxe4 Kc7 Ke7 b4 Qc4+ Kb7 Kd7 b3 Qb4+ Ka7 Kc7 b2 Qb7#;
1k1rq3/8/3p3b/1P1B4/1n3p1p/3Q3P/1P3BP1/1K1R4 w - - acn 153054124; acs 298; bm Ba7+; ce 32752; dm 8; pv Ba7+ Kc8 Rc1+ Nc6 Rxc6+ Qxc6 bxc6 Rf8 Qa6+ Kd8 Qb7 Rf7 Bxf7 f3 Bb6#;
1k1rn3/5q2/3P1b2/2K5/3N4/8/R3B3/7r w - - acn 136887; acs 1; bm Nc6+; ce 32752; dm 8; pv Nc6+ Kc8 Bg4+ Qd7 Ra8+ Kb7 Ra7+ Kc8 Bxd7+ Rxd7 Ra8+ Kb7 Rb8+ Ka6 Rb6#;
1k1r4/R7/PK6/2B5/8/8/8/8 w - - acn 1608076; acs 3; bm Rc7; ce 32752; dm 8; pv Rc7 Ka8 Be7 Rb8+ Rb7 Rd8 Ra7+ Kb8 Bxd8 Kc8 Rc7+ Kxd8 a7 Ke8 a8=Q#;
1k1r4/5p2/1p3n2/7r/1Q6/6P1/1P3P2/4R1K1 w - - acn 4411968; acs 8; bm Qxb6+; ce 32752; dm 8; pv Qxb6+ Kc8 Rc1+ Rc5 Rxc5+ Kd7 Rc7+ Ke8 Qxf6 Rd1+ Kg2 Rg1+ Kxg1 Kf8 Rc8#;
1k1r4/1pp2p2/1p4p1/7p/5b2/NNP3qP/PP2Q3/R6K b - - acn 51513823; acs 92; bm Qxh3+; ce 32752; dm 8; pv Qxh3+ Kg1 Be3+ Qxe3 Qxe3+ Kh1 Qf3+ Kg1 Rd5 Kh2 Qf2+ Kh1 Rg5 c4 Qh4#;
1k1r3r/ppp3p1/7p/3pp3/Q1Bn1qP1/2PP3P/PP3P2/R4RK1 b - - acn 130419911; acs 278; bm Nf3+; ce 32752; dm 8; pv Nf3+ Kg2 Rhf8 Qxa7+ Kxa7 Rg1 Qh2+ Kf1 Qxg1+ Ke2 Nd4+ cxd4 Rxf2+ Ke3 Qg3#;
1k1r3r/pN2b1pp/4p3/3p3q/8/3P1N2/2QB1K2/R7 w - - acn 8906123; acs 18; bm Bf4+; ce 32752; dm 8; pv Bf4+ e5 Rb1 Bh4+ Ke2 Qxf3+ Kxf3 Ka8 Nxd8 e4+ dxe4 a6 Rb8+ Ka7 Nc6#;
1k1r3r/p1bbqpp1/Q1pp4/6n1/3PPNnp/P1N1B2P/2P3B1/4RRK1 w - - acn 36292118; acs 85; bm Rb1+; ce 32752; dm 8; pv Rb1+ Bb6 Rxb6+ axb6 Qxb6+ Kc8 Qa6+ Kc7 Nfd5+ cxd5 Nxd5+ Kb8 Qb6+ Kc8 Nxe7#;
1k1r3r/2p1b3/ppBp3q/3Pp3/QP2P3/4nN2/6P1/R4RK1 w - - acn 146919; acs 0; bm Qxa6; ce 32752; dm 8; pv Qxa6 Qh1+ Kf2 Qxg2+ Kxe3 Bg5+ Kd3 Qd2+ Nxd2 Rh3+ Rf3 Rxf3+ Nxf3 b5 Qa8#;
1k1nR3/1Pr5/K2B4/8/4P2b/1p1P4/3P4/8 w - - acn 1463607; acs 4; bm Kb6; ce 32752; dm 8; pv Kb6 Bf2+ d4 Bxd4+ Ka6 Bf6 e5 Bh4 Kb6 Bf2+ d4 Bxd4+ Ka6 b2 Rxd8#;
