rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
rn6/1p1N3B/4p3/pK1b1rN1/P1p5/2Pkq2R/1Q2R1p1/B5b1 w - - acn 5; acs 0; bm Nc5# Ne5# Qc2# Qd2# Rd2#; ce 32766; dm 1; pv Nc5#;
rn6/1p1N3B/4p3/pK1b1rN1/P1p5/2Pkq2R/1Q2R1p1/B5b1 b - - acn 3; acs 0; bm Bc6#; ce 32766; dm 1; pv Bc6#;
rn6/1k2P3/2n3P1/P3Bp2/8/3qR3/K7/6q1 b - - acn 3; acs 0; bm Qgb1#; ce 32766; dm 1; pv Qgb1#;
rn6/1k2Bn2/p1b2p2/P4P2/1p4q1/2P1b2P/6RK/8 b - - acn 1; acs 0; bm Qxg2#; ce 32766; dm 1; pv Qxg2#;
rn6/1bq1nprk/1p1p2p1/p3Q3/P1PBPP2/8/3N2PP/RN1KbB1R w - - acn 1; acs 0; bm Qxg7#; ce 32766; dm 1; pv Qxg7#;
rn6/1bp3br/p1k3p1/2Pn3p/pPB4q/3R2p1/3KP1Q1/1NB2N1R w - - acn 1; acs 0; bm Qxd5#; ce 32766; dm 1; pv Qxd5#;
rn6/1bP5/5q2/4B2k/1p6/p6K/8/r7 b - - acn 1; acs 0; bm Qh4#; ce 32766; dm 1; pv Qh4#;
rn6/1b6/1Q2p1r1/1N1P2b1/pkpN3p/3P1Pp1/PB4BP/1R3R1K w - - acn 11; acs 0; bm Ba1# Ba3# Bc1# Bc3# Na3# Na7# Nc2# Nc3# Nc7# Nd6# a3#; ce 32766; dm 1; pv a3#;
rn6/1b4b1/pP1k2r1/NB2p3/Pp2Pp1P/Q2P3K/1B3P2/RN4q1 b - - acn 2; acs 0; bm Qg2# Qh1#; ce 32766; dm 1; pv Qh1#;
rn6/1b3r2/p4NPB/2k5/4p2P/P1Pp4/3R4/3K1R1q b - - acn 1; acs 0; bm Qxf1#; ce 32766; dm 1; pv Qxf1#;
rn6/1b2q3/Q7/p1r1p1p1/PP3p1k/R1PPpB1P/5P2/2B1K1NR w - - acn 1; acs 0; bm Qh6#; ce 32766; dm 1; pv Qh6#;
rn6/1b2p2r/pK2k3/PpppNp2/2P2PRp/BP2P2P/Q2N4/R7 w - - acn 1; acs 0; bm Rg6#; ce 32766; dm 1; pv Rg6#;
rn6/1b2k3/1b6/2p2p1r/1PqN1P2/p2n2R1/P6N/RK6 b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
rn6/1b2k3/1b2p1pr/3pP2p/2R2K1P/1p2PPP1/4r3/3R4 b - - acn 1; acs 0; bm Bxe3#; ce 32766; dm 1; pv Bxe3#;
rn6/1R5Q/k7/b2Q3p/5p1P/KP4p1/4n3/8 w - - acn 4; acs 0; bm Qb5# Qc4# Qdd3# Qhd3#; ce 32766; dm 1; pv Qhd3#;
rn6/1QR1r3/3pk3/PR2N3/P3P1Np/7K/7b/8 w - - acn 2; acs 0; bm Qd5# Rxe7#; ce 32766; dm 1; pv Rxe7#;
rn6/1Q3rk1/7b/1bp1pp1p/PPB1PqPP/R4P2/2PB4/3K4 b - - acn 1; acs 0; bm Qxd2#; ce 32766; dm 1; pv Qxd2#;
rn6/1Q3N2/pPnNp3/3k1b1R/8/4B3/6r1/K1R4B w - - acn 3; acs 0; bm Bxg2# Rc5# Rd1#; ce 32766; dm 1; pv Bxg2#;
rn6/1PB1Ppr1/2p1q1pP/p2p4/4k2N/PP2P2P/R1P5/3Q1K2 w - - acn 3; acs 0; bm Qd3# Qd4# Qf3#; ce 32766; dm 1; pv Qd4#;
rn6/1P3Q1p/p6P/kq6/4p3/3pP3/3P4/3K4 b - - acn 1; acs 0; bm Qb1#; ce 32766; dm 1; pv Qb1#;
rn6/1NKp1p2/bn1Pk3/5p2/2P1P1pq/7N/8/B3Qr2 w - - acn 2; acs 0; bm Nc5#; ce 32766; dm 1; pv Nc5#;
rn6/1N1kq2R/b5p1/PppK2P1/4np2/1P1P1P2/8/1RB3NQ b - - acn 2; acs 0; bm Bxb7# Nc3#; ce 32766; dm 1; pv Nc3#;
rn5r/qQ2Bn2/B2p4/p1k3bp/2Pp4/2p2PR1/P4K2/R1N5 w - - acn 4; acs 0; bm Nb3# Nd3# Qb5#; ce 32766; dm 1; pv Nb3#;
rn5r/q4pP1/pk1bP2n/2p5/4K1Rp/B2BP3/P2N2P1/RN6 b - - acn 1; acs 0; bm Qb7#; ce 32766; dm 1; pv Qb7#;
rn5r/ppp1q3/7p/3PBQ2/3P2p1/2b3Pk/PPP5/R5K1 w - - acn 1; acs 0; bm Qf1#; ce 32766; dm 1; pv Qf1#;
rn5r/pp3p2/4k2p/3p2q1/Nn1P2b1/P1b2PPP/1P2P3/2RK1BNR b - - acn 1; acs 0; bm Qd2#; ce 32766; dm 1; pv Qd2#;
rn5r/pp1k1p2/BqN5/1P1pQ2p/2P3P1/5K2/PN1P4/R1Bn2qR b - - acn 3; acs 0; bm Qbf2# Qgf2# Qxg4#; ce 32766; dm 1; pv Qgf2#;
rn5r/pp1b1ppp/1kp1P3/8/3Pq1P1/4PN1R/PP1bK1P1/R1BQ1B2 b - - acn 1; acs 0; bm Qxe3#; ce 32766; dm 1; pv Qxe3#;
rn5r/pb5k/3pQ3/5P1P/PPpP3N/2P5/1B5P/R3K3 w - - acn 1; acs 0; bm Qg6#; ce 32766; dm 1; pv Qg6#;
rn5r/pb2p1kp/3p4/1pp2P2/1PP2pnP/2NP1Pq1/Pb2K1PR/R2Q1B2 b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
rn5r/pBp1b1kN/1p2Q1p1/4pp2/q2p1NnP/4P3/PPPP1PP1/R1B2RK1 w - - acn 1; acs 0; bm Qxg6#; ce 32766; dm 1; pv Qxg6#;
rn5r/pB2n3/b3pqpp/1p1pP3/2k3P1/B1N1Q2N/PPP2P1P/2R2RK1 w - - acn 3; acs 0; bm Qc5# Qd3# b3#; ce 32766; dm 1; pv b3#;
rn5r/pB2k1bp/4p3/2p2P1N/2b2Pq1/PP2P3/2pP4/RNB1Kn1R b - - acn 1; acs 0; bm Qe2#; ce 32766; dm 1; pv Qe2#;
rn5r/pB1b2bp/3k1p2/2p5/8/2p5/PP3PPP/R1B1R1K1 w - - acn 1; acs 0; bm Bf4#; ce 32766; dm 1; pv Bf4#;
rn5r/p6b/k5p1/1pQ5/2BPp3/8/PPPK1P2/q7 w - - acn 1; acs 0; bm Qxb5#; ce 32766; dm 1; pv Qxb5#;
rn5r/p4p2/1Q2p1p1/qPp1b1Np/5P1k/nP2P3/NP2B1PP/2BK2R1 w - - acn 2; acs 0; bm g3#; ce 32766; dm 1; pv g3#;
rn5r/p3pp1p/3kb2b/PBpp2p1/5P1N/Nn5P/qB1P2P1/4K2R w - - acn 1; acs 0; bm Be5#; ce 32766; dm 1; pv Be5#;
rn5r/p3n1p1/b1p1p2P/1p1pq3/1K1Pk3/1P2Pp2/P1R1NP1P/1BB1R3 w - - acn 6; acs 0; bm Rb2# Rc3# Rc4# Rc5# Rd2# Rxc6#; ce 32766; dm 1; pv Rd2#;
rn5r/p2qpp2/5k1b/1Npp3n/2BPP3/2PK2p1/PP1B3q/2R1R1N1 b - - acn 1; acs 0; bm Qxd2#; ce 32766; dm 1; pv Qxd2#;
rn5r/p2q3p/p2kp2n/2pp1p2/2PP2p1/QP2P2P/Pb1BKP1P/2R3NR w - - acn 1; acs 0; bm Qxc5#; ce 32766; dm 1; pv Qxc5#;
rn5r/p2pb1q1/b1p5/1p2pppp/1BPk4/NP1P3B/P3PnKP/2RQ2R1 w - - acn 1; acs 0; bm Nc2#; ce 32766; dm 1; pv Nc2#;
rn5r/p2p3p/b1p3Qn/1p2kp2/BP2PpP1/2NP4/PB1K1b1P/R5NR w - - acn 6; acs 0; bm Nf3#; ce 32766; dm 1; pv Nf3#;
rn5r/p2bbp1p/P1pn2p1/BNk1p1P1/3p1q2/3P3B/4PP1P/2R1K1NR b K - acn 1; acs 0; bm Qxc1#; ce 32766; dm 1; pv Qxc1#;
rn5r/p1pp3p/b2Pkq1b/1p2ppp1/1PP1P1nP/N4PP1/PB2N2R/R2QKB2 w Q - acn 1; acs 0; bm Qd5#; ce 32766; dm 1; pv Qd5#;
rn5r/p1p3pp/bp2p2k/3Q2N1/1bP2p2/3BPP2/PP1P3K/RNB2R2 w - - acn 1; acs 0; bm Nf7#; ce 32766; dm 1; pv Nf7#;
rn5r/b7/2b5/pR1p2pp/P1k2PP1/7N/4P2P/QN2KB1R w - - acn 5; acs 0; bm Na3# Nd2# Qc3# e3# e4#; ce 32766; dm 1; pv e3#;
rn5r/6p1/R1b3k1/4p2p/1PPp1p2/3PnP1P/N5q1/1Qb1K1NR b - c3 acn 3; acs 0; bm Bd2# Qd2# Qf1#; ce 32766; dm 1; pv Bd2#;
rn5r/6bk/2Rp3P/p6q/P1bpPp1P/5P2/RP3K2/1N2B1Q1 w - - acn 1; acs 0; bm Qxg7#; ce 32766; dm 1; pv Qxg7#;
rn5r/6P1/p2k1n2/P1p2b1p/1PpB3P/4K3/2RQP2R/1N3qN1 b - - acn 2; acs 0; bm Nd5# Ng4#; ce 32766; dm 1; pv Ng4#;
rn5r/5p1p/1p1bpq2/p1pk2p1/1Q4bP/3P1P2/PR2P1P1/1nB1KBNR w - - acn 1; acs 0; bm Qe4#; ce 32766; dm 1; pv Qe4#;
rn5r/5b1p/6pB/2bPp2P/p2pp1P1/P4k2/P1P4R/RN2K1Q1 w - - acn 4; acs 0; bm Nd2# Qg2# Rf2# Rh3#; ce 32766; dm 1; pv Nd2#;
rn5r/5Q2/p2pp2b/PNpP2kp/bPP3P1/2K2RnP/5P2/6NR w - - acn 1; acs 0; bm Qf6#; ce 32766; dm 1; pv Qf6#;
rn5r/4k3/p4Rpb/7p/2Pppq1P/1p2R3/1PbK1NP1/1N3B2 b - - acn 1; acs 0; bm Qxe3#; ce 32766; dm 1; pv Qxe3#;
rn5r/4b2Q/p1P1k3/1b3p1n/5PP1/1P6/2B4P/3RK1BR w - - acn 2; acs 0; bm Qxf5#; ce 32766; dm 1; pv Qxf5#;
rn5r/4Bk1p/2b3pb/P2pP3/3P4/R5nN/2q2P2/1Q2K2R b K - acn 4; acs 0; bm Bd2# Qd2# Qe2# Qxb1#; ce 32766; dm 1; pv Bd2#;
rn5r/3q2pp/2pb1n2/1pN5/p2P2k1/3Q4/PPP3PP/R1B3K1 w - - acn 1; acs 0; bm Qh3#; ce 32766; dm 1; pv Qh3#;
rn5r/3pn1k1/p1pPpp1p/8/PN2PpqP/4P3/R4K1R/2q2B2 b - - acn 2; acs 0; bm Qxe3# fxe3#; ce 32766; dm 1; pv fxe3#;
rn5r/3p4/p3p1Np/Pp1kPpP1/3P4/1NRQP1n1/7P/3K1BR1 w - - acn 4; acs 0; bm Ne7# Nf4# Rc5#; ce 32766; dm 1; pv Nf4#;
rn5r/3p4/p1P1pn1p/2p2q2/Pb1P2kp/RP2K1P1/N3NP2/2B2BR1 b - - acn 3; acs 0; bm Nd5# Qe4# Qf3#; ce 32766; dm 1; pv Nd5#;
rn5r/3p4/3kP3/2pN4/PpP3Pp/3R4/2BK3P/1q2r1NR b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
rn5r/3np1Qp/1p1p3b/pP1k1P2/1P6/N2P1PPp/R1PBNK1R/5B2 w - - acn 3; acs 0; bm Nc3# Qd4# c4#; ce 32766; dm 1; pv c4#;
rn5r/3kp3/1pp2n2/p4Pp1/NPp4q/1Q2KP2/P2PPNP1/R1B2B2 b - - acn 2; acs 0; bm Nd5# Qf4#; ce 32766; dm 1; pv Nd5#;
rn5r/3k4/pQ6/2pp1pP1/2PP2BP/Pp1P1qP1/NPNB2b1/1R2K3 b - - acn 1; acs 0; bm Qf1#; ce 32766; dm 1; pv Qf1#;
rn5r/3bp3/p3kbpp/3p4/1pP1B1PP/qPn3R1/5PN1/2B1KN2 b - - acn 1; acs 0; bm Qxc1#; ce 32766; dm 1; pv Qxc1#;
rn5r/3b4/1N2p3/p1K1k2B/1RP3pP/B3R3/P4qP1/8 b - - acn 1; acs 0; bm Qxe3#; ce 32766; dm 1; pv Qxe3#;
rn5r/2ppk1p1/3bp3/pb1B1p1p/5NQq/2N1PK2/1PPP1PP1/R1B4R b - - acn 2; acs 0; bm Qxg4# hxg4#; ce 32766; dm 1; pv hxg4#;
rn5r/2pkq3/1p4p1/p1b2n2/b5N1/1p5P/1B3PP1/R1K2B1R b - - acn 1; acs 0; bm Qe1#; ce 32766; dm 1; pv Qe1#;
rn5r/2k4p/8/5b1P/3pPp2/2q3NR/2p5/2K2R2 b - - acn 1; acs 0; bm Ra1#; ce 32766; dm 1; pv Ra1#;
rn5r/1q3pB1/p4N2/1kb1N1p1/1P2b1P1/6n1/P2P4/2R1K3 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
rn5r/1ppNbppp/3pk3/pB5P/PP1PP1P1/8/N1P1KPn1/1Rq3R1 w - - acn 1; acs 0; bm d5#; ce 32766; dm 1; pv d5#;
rn5r/1p2k3/pB2bp1p/1P2p3/4pn2/2bq2PB/P1PQP3/1R2K2R b - - acn 1; acs 0; bm Qxe2#; ce 32766; dm 1; pv Qxe2#;
rn5r/1bqppn2/1p4pb/p1k2p1p/P4Q2/2PP2P1/2PN1PBP/R4KN1 w - - acn 4; acs 0; bm Nb3# Qd4# d4#; ce 32766; dm 1; pv d4#;
rn5r/1bppnpNp/1p1k4/p7/1P1P4/B1b2BP1/P1PQPP1P/R4RK1 w - - acn 3; acs 0; bm Qf4#; ce 32766; dm 1; pv Qf4#;
rn5r/1bB3pp/p1qbp2P/1pk2p2/3pP3/P1PP3P/1PQ2PB1/RN2K1NR w KQ - acn 2; acs 0; bm b4#; ce 32766; dm 1; pv b4#;
rn5r/1b3pqp/1Ppp1b1n/p1k1p3/4P1p1/2NP1PPP/2P1N1B1/1RBQ1KR1 w - - acn 3; acs 0; bm Ba3# Be3# Na4#; ce 32766; dm 1; pv Na4#;
rn3k2/1p4b1/3p1p2/p5N1/3qbP1p/5P1R/4K3/B4r2 b - - acn 3; acs 0; bm Qd3# Qf2#; ce 32766; dm 1; pv Qf2#;
rn3k2/1bpqbpn1/1p1p2pQ/p2Pp3/4P3/2N2N2/PPP2PP1/2KR1B1R w - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
rn3k2/1bQ3pr/pp1pP3/4Pp2/4N2n/1pRP2PP/qPB2K2/2B1N1R1 w - - acn 2; acs 0; bm Qd8# Qf7#; ce 32766; dm 1; pv Qf7#;
rn3k2/1b3Bqp/1Q1Pp2n/p1p1p2P/P3r3/1P3K2/3Rp3/4b3 b - - acn 4; acs 0; bm Qg3# Qg4#; ce 32766; dm 1; pv Qg3#;
rn3k2/1b2b3/2p2p1p/pp5B/1P1Pp1R1/PP6/7P/1KB5 w - - acn 1; acs 0; bm Bxh6#; ce 32766; dm 1; pv Bxh6#;
